 	Area	Mean	Min	Max	XStart	YStart
1	1.350	255	255	255	474	21
2	1.263	255	255	255	147	91
3	1.060	255	255	255	173	130
4	1.814	255	255	255	403	271
5	0.334	255	255	255	326	296
6	1.466	255	255	255	465	7
7	0.232	255	255	255	174	369
8	1.394	255	255	255	382	88
9	0.232	255	255	255	276	167
10	1.771	255	255	255	43	178
11	0.305	255	255	255	28	183
12	0.305	255	255	255	62	216
13	0.929	255	255	255	146	282
14	0.929	255	255	255	250	304
15	0.319	255	255	255	266	319
16	0.856	255	255	255	176	338
17	2.206	255	255	255	475	14
18	1.466	255	255	255	130	86
19	0.406	255	255	255	151	244
20	0.827	255	255	255	128	266
21	3.208	255	255	255	399	47
22	1.452	255	255	255	388	87
23	0.523	255	255	255	280	227
24	0.232	255	255	255	389	252
25	0.261	255	255	255	56	87
26	0.290	255	255	255	84	118
27	0.784	255	255	255	453	278
28	0.348	255	255	255	469	388
29	1.002	255	255	255	80	418
30	2.221	255	255	255	338	78
31	0.392	255	255	255	77	365
32	4.848	255	255	255	459	238
33	2.482	255	255	255	333	272
34	0.479	255	255	255	116	285
35	0.261	255	255	255	91	368
36	0.406	255	255	255	236	11
37	0.392	255	255	255	49	43
38	2.076	255	255	255	400	138
39	2.511	255	255	255	97	149
40	0.769	255	255	255	463	158
41	2.569	255	255	255	161	250
42	1.858	255	255	255	96	260
43	1.176	255	255	255	85	269
44	0.377	255	255	255	359	12
45	1.016	255	255	255	169	26
46	0.813	255	255	255	315	73
47	1.655	255	255	255	82	82
48	0.363	255	255	255	185	169
49	2.627	255	255	255	266	342
50	2.497	255	255	255	323	384
51	0.261	255	255	255	230	449
52	0.740	255	255	255	388	62
53	7.142	255	255	255	337	94
54	0.319	255	255	255	377	336
55	0.261	255	255	255	435	353
56	1.060	255	255	255	279	77
57	0.261	255	255	255	314	267
58	0.334	255	255	255	433	297
59	0.305	255	255	255	66	146
60	1.814	255	255	255	480	181
61	1.161	255	255	255	147	281
62	0.915	255	255	255	451	301
63	0.261	255	255	255	485	390
64	0.290	255	255	255	169	399
65	1.408	255	255	255	289	3
66	0.842	255	255	255	455	24
67	0.363	255	255	255	259	72
68	0.363	255	255	255	478	75
69	0.334	255	255	255	208	94
70	0.348	255	255	255	264	204
71	0.261	255	255	255	123	214
72	0.261	255	255	255	469	336
73	0.348	255	255	255	354	398
74	0.377	255	255	255	317	48
75	0.363	255	255	255	278	54
76	2.076	255	255	255	337	60
77	0.305	255	255	255	359	112
78	1.887	255	255	255	389	235
79	0.290	255	255	255	49	264
80	0.566	255	255	255	50	25
81	1.335	255	255	255	32	53
82	1.205	255	255	255	425	113
83	2.802	255	255	255	345	203
84	0.261	255	255	255	112	215
85	0.232	255	255	255	109	221
86	0.900	255	255	255	253	356
87	0.987	255	255	255	59	376
88	1.234	255	255	255	376	436
89	1.582	255	255	255	292	303
90	0.305	255	255	255	56	319
91	0.334	255	255	255	296	319
92	0.813	255	255	255	109	414
93	2.744	255	255	255	314	25
94	2.308	255	255	255	282	80
95	0.813	255	255	255	339	105
96	0.319	255	255	255	85	400
97	0.624	255	255	255	290	426
98	0.334	255	255	255	244	70
99	0.305	255	255	255	275	230
100	0.348	255	255	255	218	337
101	2.294	255	255	255	476	369
102	1.771	255	255	255	459	63
103	0.348	255	255	255	349	91
104	0.305	255	255	255	188	144
