 	Area	Mean	Min	Max	XStart	YStart
1	1.568	255	255	255	453	23
2	1.481	255	255	255	386	33
3	1.089	255	255	255	102	46
4	0.958	255	255	255	110	55
5	1.089	255	255	255	440	238
6	2.642	255	255	255	287	245
7	0.261	255	255	255	114	395
8	0.334	255	255	255	101	451
9	0.392	255	255	255	163	61
10	0.697	255	255	255	352	82
11	1.423	255	255	255	101	94
12	0.929	255	255	255	485	108
13	0.726	255	255	255	283	154
14	3.469	255	255	255	440	249
15	0.261	255	255	255	431	395
16	0.261	255	255	255	385	147
17	0.319	255	255	255	387	214
18	0.377	255	255	255	399	218
19	0.944	255	255	255	465	68
20	0.871	255	255	255	332	208
21	0.247	255	255	255	187	338
22	0.987	255	255	255	385	30
23	1.103	255	255	255	198	57
24	0.261	255	255	255	499	186
25	1.161	255	255	255	478	206
26	0.305	255	255	255	134	400
27	6.329	255	255	255	300	8
28	0.363	255	255	255	475	112
29	1.277	255	255	255	335	126
30	0.348	255	255	255	362	138
31	0.334	255	255	255	366	146
32	0.842	255	255	255	438	433
33	0.348	255	255	255	358	4
34	1.089	255	255	255	217	5
35	0.261	255	255	255	148	68
36	0.232	255	255	255	252	79
37	2.032	255	255	255	176	231
38	0.987	255	255	255	452	404
39	1.248	255	255	255	437	16
40	0.377	255	255	255	391	176
41	0.769	255	255	255	250	243
42	0.348	255	255	255	173	265
43	0.305	255	255	255	351	348
44	0.958	255	255	255	127	357
45	0.798	255	255	255	383	218
46	4.485	255	255	255	27	293
47	0.232	255	255	255	261	429
48	0.290	255	255	255	315	456
49	1.698	255	255	255	401	37
50	0.581	255	255	255	75	469
51	0.377	255	255	255	404	72
52	0.334	255	255	255	203	98
53	0.261	255	255	255	412	105
54	0.435	255	255	255	349	246
55	0.348	255	255	255	463	370
56	0.334	255	255	255	474	444
57	1.495	255	255	255	360	18
58	0.261	255	255	255	285	50
59	0.885	255	255	255	267	53
60	1.089	255	255	255	486	166
61	0.929	255	255	255	389	217
62	3.861	255	255	255	366	239
63	0.900	255	255	255	239	252
64	0.261	255	255	255	454	264
65	0.232	255	255	255	300	419
66	0.769	255	255	255	206	134
67	0.871	255	255	255	313	77
68	1.713	255	255	255	340	136
69	1.713	255	255	255	213	237
70	0.740	255	255	255	115	283
71	0.435	255	255	255	266	253
72	0.334	255	255	255	337	460
73	0.363	255	255	255	146	49
74	0.958	255	255	255	240	251
75	1.161	255	255	255	339	286
76	0.305	255	255	255	77	402
77	0.319	255	255	255	221	427
78	0.552	255	255	255	290	427
79	0.261	255	255	255	438	440
80	0.682	255	255	255	251	466
81	3.513	255	255	255	153	22
82	0.261	255	255	255	406	22
83	0.392	255	255	255	400	23
84	0.334	255	255	255	430	44
85	1.974	255	255	255	373	58
86	0.813	255	255	255	484	247
87	1.350	255	255	255	387	297
88	1.277	255	255	255	466	55
89	0.232	255	255	255	419	120
90	1.974	255	255	255	154	185
91	0.232	255	255	255	497	240
92	3.716	255	255	255	226	262
93	0.494	255	255	255	114	275
94	1.945	255	255	255	442	328
95	1.147	255	255	255	381	22
96	0.363	255	255	255	455	22
97	0.261	255	255	255	464	120
98	2.526	255	255	255	363	205
99	2.105	255	255	255	381	389
100	0.334	255	255	255	401	396
101	0.261	255	255	255	428	408
102	0.334	255	255	255	470	22
103	0.334	255	255	255	471	283
104	0.508	255	255	255	427	31
105	1.931	255	255	255	446	81
106	1.495	255	255	255	415	83
107	0.523	255	255	255	408	114
108	0.334	255	255	255	259	195
109	0.784	255	255	255	399	316
110	0.392	255	255	255	439	406
111	0.465	255	255	255	454	46
112	0.523	255	255	255	125	194
113	0.334	255	255	255	128	395
114	1.031	255	255	255	232	34
115	1.481	255	255	255	297	43
116	0.261	255	255	255	35	171
117	0.305	255	255	255	442	349
118	0.261	255	255	255	413	62
119	0.363	255	255	255	379	86
120	1.524	255	255	255	305	105
121	0.348	255	255	255	239	110
122	0.319	255	255	255	496	157
123	0.232	255	255	255	116	196
124	2.714	255	255	255	328	218
125	0.305	255	255	255	147	281
126	0.232	255	255	255	316	338
127	3.063	255	255	255	475	30
128	0.842	255	255	255	388	51
129	1.553	255	255	255	204	99
130	0.377	255	255	255	374	161
131	1.031	255	255	255	300	184
132	0.319	255	255	255	217	309
133	0.769	255	255	255	399	336
134	3.832	255	255	255	157	366
135	0.566	255	255	255	172	25
136	0.261	255	255	255	385	37
137	1.002	255	255	255	43	66
138	1.248	255	255	255	208	76
139	0.421	255	255	255	331	215
140	0.334	255	255	255	155	420
141	1.655	255	255	255	296	14
142	0.261	255	255	255	469	168
143	1.176	255	255	255	25	316
144	0.232	255	255	255	45	385
145	1.669	255	255	255	280	401
146	0.334	255	255	255	7	459
