 	Area	Mean	Min	Max	XStart	YStart
1	2.018	255	255	255	230	93
2	1.031	255	255	255	408	161
3	0.958	255	255	255	378	277
4	0.261	255	255	255	485	5
5	0.755	255	255	255	70	18
6	1.306	255	255	255	356	56
7	1.292	255	255	255	441	90
8	0.813	255	255	255	112	99
9	1.190	255	255	255	17	152
10	0.813	255	255	255	446	175
11	0.334	255	255	255	422	385
12	0.363	255	255	255	355	125
13	6.416	255	255	255	93	130
14	2.395	255	255	255	453	9
15	0.929	255	255	255	489	49
16	4.413	255	255	255	406	259
17	2.802	255	255	255	164	283
18	1.873	255	255	255	100	392
19	2.918	255	255	255	280	78
20	0.232	255	255	255	263	119
21	2.192	255	255	255	53	91
22	0.363	255	255	255	274	105
23	0.827	255	255	255	312	204
24	0.494	255	255	255	265	272
25	6.010	255	255	255	27	66
26	3.977	255	255	255	93	316
27	1.481	255	255	255	153	43
28	0.261	255	255	255	157	107
29	0.348	255	255	255	210	110
30	1.539	255	255	255	353	2
31	1.219	255	255	255	227	177
32	2.264	255	255	255	321	33
33	1.335	255	255	255	119	161
34	1.016	255	255	255	102	174
35	1.785	255	255	255	135	247
36	1.016	255	255	255	239	12
37	0.944	255	255	255	318	29
38	0.334	255	255	255	215	50
39	7.751	255	255	255	13	132
40	0.958	255	255	255	146	142
41	0.494	255	255	255	391	164
42	0.261	255	255	255	309	36
43	1.727	255	255	255	166	49
44	0.523	255	255	255	87	63
45	14.255	255	255	255	336	103
46	1.873	255	255	255	133	142
47	0.290	255	255	255	295	280
48	0.842	255	255	255	307	335
49	2.395	255	255	255	328	265
50	1.597	255	255	255	277	14
51	1.814	255	255	255	309	38
52	0.363	255	255	255	353	104
53	1.306	255	255	255	137	219
54	3.876	255	255	255	221	284
55	1.539	255	255	255	95	290
56	1.118	255	255	255	306	37
57	1.350	255	255	255	302	80
58	1.074	255	255	255	464	121
59	1.858	255	255	255	367	125
60	3.179	255	255	255	104	31
61	1.118	255	255	255	107	127
62	1.394	255	255	255	408	52
63	1.844	255	255	255	368	250
64	1.277	255	255	255	349	302
65	6.169	255	255	255	98	6
66	1.335	255	255	255	491	131
67	1.887	255	255	255	262	176
68	1.205	255	255	255	380	15
69	0.987	255	255	255	180	54
70	1.727	255	255	255	15	132
71	3.368	255	255	255	244	347
72	2.555	255	255	255	63	107
73	0.392	255	255	255	473	127
74	1.161	255	255	255	349	209
75	1.147	255	255	255	351	281
76	0.755	255	255	255	51	186
77	1.960	255	255	255	422	2
78	1.423	255	255	255	25	143
79	1.437	255	255	255	122	150
80	1.292	255	255	255	351	196
81	0.334	255	255	255	227	273
82	1.060	255	255	255	423	24
83	7.839	255	255	255	320	27
84	20.017	255	255	255	433	54
85	1.219	255	255	255	335	106
86	1.510	255	255	255	361	236
87	0.377	255	255	255	161	74
88	0.261	255	255	255	394	420
89	0.232	255	255	255	58	67
90	1.147	255	255	255	114	106
91	1.219	255	255	255	178	128
92	0.682	255	255	255	103	178
93	0.740	255	255	255	153	185
94	1.234	255	255	255	246	246
95	2.424	255	255	255	107	294
96	1.452	255	255	255	134	41
97	1.118	255	255	255	248	41
98	0.334	255	255	255	62	127
99	1.727	255	255	255	135	221
100	0.827	255	255	255	16	48
101	9.174	255	255	255	229	97
102	2.685	255	255	255	95	140
103	1.147	255	255	255	211	154
104	2.918	255	255	255	92	180
105	1.031	255	255	255	184	265
106	4.108	255	255	255	98	289
107	2.279	255	255	255	57	297
108	1.248	255	255	255	282	66
109	0.900	255	255	255	63	134
110	0.653	255	255	255	264	147
111	2.976	255	255	255	286	196
112	2.337	255	255	255	416	51
113	1.277	255	255	255	304	206
114	0.305	255	255	255	377	95
115	0.987	255	255	255	294	98
116	1.582	255	255	255	429	206
117	1.539	255	255	255	329	229
118	1.829	255	255	255	45	285
119	1.321	255	255	255	71	323
120	1.118	255	255	255	17	47
121	0.276	255	255	255	218	136
122	0.261	255	255	255	230	449
123	1.814	255	255	255	184	136
124	0.421	255	255	255	240	164
125	0.406	255	255	255	350	192
126	1.277	255	255	255	292	76
127	0.682	255	255	255	237	129
128	0.929	255	255	255	460	181
129	1.495	255	255	255	382	209
130	0.232	255	255	255	382	44
131	6.082	255	255	255	294	157
132	3.789	255	255	255	161	289
133	2.410	255	255	255	243	254
134	1.626	255	255	255	340	327
135	2.598	255	255	255	392	357
136	1.103	255	255	255	477	357
137	4.790	255	255	255	95	2
138	0.377	255	255	255	203	73
139	1.292	255	255	255	223	221
140	3.542	255	255	255	163	253
141	0.421	255	255	255	110	315
142	1.844	255	255	255	217	98
143	0.958	255	255	255	133	201
144	0.450	255	255	255	58	220
145	1.219	255	255	255	126	236
146	2.918	255	255	255	122	210
147	1.190	255	255	255	153	241
148	1.756	255	255	255	120	287
149	1.814	255	255	255	334	316
150	0.915	255	255	255	213	1
151	0.276	255	255	255	417	10
152	1.364	255	255	255	226	132
153	2.294	255	255	255	126	187
154	5.850	255	255	255	90	235
155	1.945	255	255	255	308	261
156	1.161	255	255	255	236	60
157	0.334	255	255	255	375	108
158	1.161	255	255	255	469	192
159	0.276	255	255	255	89	28
160	3.179	255	255	255	340	218
161	1.045	255	255	255	107	330
162	4.311	255	255	255	347	345
163	0.958	255	255	255	71	386
164	0.232	255	255	255	84	52
165	1.771	255	255	255	132	67
166	1.161	255	255	255	57	112
167	1.118	255	255	255	261	126
168	0.755	255	255	255	385	341
169	2.410	255	255	255	211	62
170	1.103	255	255	255	198	122
171	0.798	255	255	255	195	206
172	1.219	255	255	255	414	237
173	2.831	255	255	255	185	270
174	6.489	255	255	255	211	288
175	0.900	255	255	255	262	51
176	2.221	255	255	255	121	184
177	0.348	255	255	255	355	399
178	0.348	255	255	255	270	18
179	0.232	255	255	255	465	118
180	1.742	255	255	255	296	149
181	2.802	255	255	255	61	335
182	1.060	255	255	255	459	101
183	5.661	255	255	255	155	112
184	0.377	255	255	255	253	114
185	1.002	255	255	255	160	221
186	0.334	255	255	255	147	233
187	4.892	255	255	255	139	396
188	1.016	255	255	255	87	169
189	0.334	255	255	255	256	226
190	0.334	255	255	255	172	107
191	1.713	255	255	255	255	144
192	0.305	255	255	255	483	162
193	0.319	255	255	255	125	190
194	5.835	255	255	255	30	16
195	1.277	255	255	255	42	216
196	0.842	255	255	255	320	307
197	1.277	255	255	255	338	35
198	1.190	255	255	255	240	85
199	0.261	255	255	255	70	165
200	0.827	255	255	255	126	192
201	1.510	255	255	255	407	229
202	0.232	255	255	255	204	319
203	1.219	255	255	255	325	325
204	0.348	255	255	255	194	348
205	1.713	255	255	255	265	191
206	1.248	255	255	255	421	7
207	0.435	255	255	255	112	14
208	5.560	255	255	255	13	115
209	2.903	255	255	255	491	165
210	0.726	255	255	255	408	228
211	0.421	255	255	255	305	53
212	0.958	255	255	255	112	142
213	1.379	255	255	255	240	24
214	0.261	255	255	255	120	37
215	1.176	255	255	255	40	71
216	1.089	255	255	255	396	340
217	0.987	255	255	255	315	27
218	1.190	255	255	255	115	81
219	0.435	255	255	255	113	217
220	1.452	255	255	255	258	256
221	1.060	255	255	255	151	301
222	1.205	255	255	255	101	439
223	2.816	255	255	255	455	36
224	1.452	255	255	255	433	58
225	0.885	255	255	255	177	64
226	0.697	255	255	255	10	94
227	3.208	255	255	255	470	180
228	2.453	255	255	255	294	203
229	2.061	255	255	255	396	7
230	3.484	255	255	255	146	19
231	2.787	255	255	255	323	159
232	0.798	255	255	255	434	277
233	1.481	255	255	255	123	10
234	1.423	255	255	255	151	33
235	2.090	255	255	255	306	164
236	1.785	255	255	255	479	374
237	1.060	255	255	255	295	8
238	0.261	255	255	255	26	107
239	1.118	255	255	255	125	156
240	2.047	255	255	255	394	170
241	2.685	255	255	255	35	52
242	0.348	255	255	255	15	75
243	0.668	255	255	255	176	89
244	2.918	255	255	255	287	303
245	0.377	255	255	255	440	15
246	1.597	255	255	255	437	151
247	1.060	255	255	255	362	157
248	1.408	255	255	255	183	349
249	0.987	255	255	255	49	65
250	2.235	255	255	255	399	174
251	1.060	255	255	255	269	210
252	2.787	255	255	255	197	228
253	1.785	255	255	255	61	376
254	0.319	255	255	255	205	20
255	0.232	255	255	255	465	188
256	2.860	255	255	255	45	266
257	1.045	255	255	255	448	20
258	1.190	255	255	255	399	22
259	2.744	255	255	255	148	47
260	1.089	255	255	255	179	164
261	1.190	255	255	255	337	179
262	0.377	255	255	255	134	277
263	0.450	255	255	255	317	281
264	1.394	255	255	255	280	366
265	0.363	255	255	255	276	22
266	0.261	255	255	255	376	158
267	0.261	255	255	255	63	400
268	1.016	255	255	255	12	10
269	1.626	255	255	255	7	38
270	3.571	255	255	255	254	42
271	1.669	255	255	255	326	101
272	1.858	255	255	255	152	167
273	0.232	255	255	255	284	310
274	0.842	255	255	255	482	61
275	2.148	255	255	255	79	65
276	0.305	255	255	255	280	109
277	1.190	255	255	255	142	367
278	1.989	255	255	255	490	40
279	3.774	255	255	255	27	121
280	1.423	255	255	255	164	129
281	2.163	255	255	255	491	214
282	3.673	255	255	255	28	61
283	2.613	255	255	255	40	6
284	0.915	255	255	255	223	33
285	1.742	255	255	255	260	105
286	1.190	255	255	255	268	131
287	0.987	255	255	255	137	152
288	1.118	255	255	255	410	196
289	1.684	255	255	255	481	248
290	0.944	255	255	255	65	41
291	4.776	255	255	255	101	49
292	1.248	255	255	255	18	44
293	0.958	255	255	255	188	84
294	1.423	255	255	255	272	111
295	0.276	255	255	255	467	190
296	0.900	255	255	255	89	192
297	0.842	255	255	255	363	307
298	3.092	255	255	255	437	234
299	1.060	255	255	255	132	28
300	1.190	255	255	255	310	137
301	0.827	255	255	255	436	214
302	4.689	255	255	255	120	218
303	0.726	255	255	255	324	290
304	2.816	255	255	255	197	346
305	1.118	255	255	255	292	134
306	1.306	255	255	255	365	205
307	2.714	255	255	255	256	216
308	0.406	255	255	255	186	18
309	1.800	255	255	255	102	163
310	0.755	255	255	255	29	210
311	2.061	255	255	255	446	444
312	1.045	255	255	255	238	15
313	1.045	255	255	255	308	62
314	1.089	255	255	255	267	63
315	1.756	255	255	255	480	118
316	1.466	255	255	255	57	127
317	1.031	255	255	255	126	200
318	2.511	255	255	255	109	265
319	4.253	255	255	255	65	273
320	7.519	255	255	255	103	342
321	0.290	255	255	255	256	83
322	0.711	255	255	255	234	288
323	1.161	255	255	255	173	290
324	0.261	255	255	255	296	347
325	3.614	255	255	255	168	392
326	2.148	255	255	255	107	162
327	1.219	255	255	255	110	216
328	2.206	255	255	255	480	263
329	0.421	255	255	255	240	328
330	0.261	255	255	255	463	360
331	0.885	255	255	255	207	116
332	0.305	255	255	255	187	119
333	0.798	255	255	255	12	4
334	1.350	255	255	255	314	71
335	1.829	255	255	255	48	121
336	1.423	255	255	255	428	409
337	0.261	255	255	255	74	422
338	2.685	255	255	255	65	21
339	0.276	255	255	255	245	36
340	2.685	255	255	255	340	85
341	2.744	255	255	255	76	102
342	3.208	255	255	255	101	102
343	2.845	255	255	255	407	169
344	1.089	255	255	255	393	236
345	1.582	255	255	255	48	305
346	0.827	255	255	255	35	414
347	2.395	255	255	255	490	71
348	1.597	255	255	255	214	191
349	0.929	255	255	255	150	200
350	1.147	255	255	255	261	245
351	1.031	255	255	255	223	119
352	1.147	255	255	255	60	141
353	3.716	255	255	255	165	238
354	1.335	255	255	255	453	251
355	1.640	255	255	255	395	309
356	3.556	255	255	255	25	358
357	2.105	255	255	255	19	413
358	1.713	255	255	255	89	202
