 	Area	Mean	Min	Max	XStart	YStart
1	1.611	255	255	255	214	98
2	0.842	255	255	255	118	101
3	0.232	255	255	255	380	172
4	0.348	255	255	255	238	276
5	0.885	255	255	255	94	341
6	0.305	255	255	255	236	345
7	0.232	255	255	255	15	75
8	1.016	255	255	255	412	109
9	0.755	255	255	255	65	150
10	0.842	255	255	255	222	172
11	1.161	255	255	255	177	245
12	2.395	255	255	255	40	8
13	1.263	255	255	255	269	45
14	1.829	255	255	255	48	91
15	1.060	255	255	255	147	155
16	2.932	255	255	255	232	244
17	0.363	255	255	255	15	81
18	0.261	255	255	255	450	186
19	0.348	255	255	255	314	70
20	0.348	255	255	255	383	170
21	0.377	255	255	255	87	195
22	0.334	255	255	255	247	39
23	2.163	255	255	255	346	32
24	0.958	255	255	255	382	49
25	2.584	255	255	255	68	177
26	4.456	255	255	255	91	195
27	1.147	255	255	255	221	242
28	0.276	255	255	255	245	71
29	6.547	255	255	255	282	141
30	1.060	255	255	255	116	45
31	1.916	255	255	255	38	71
32	0.232	255	255	255	78	72
33	3.339	255	255	255	101	104
34	2.134	255	255	255	308	108
35	0.232	255	255	255	205	127
36	0.653	255	255	255	403	138
37	2.235	255	255	255	171	19
38	0.610	255	255	255	377	86
39	1.873	255	255	255	51	155
40	2.003	255	255	255	220	178
41	1.553	255	255	255	367	240
42	1.350	255	255	255	345	170
43	3.411	255	255	255	361	237
44	0.261	255	255	255	150	360
45	1.277	255	255	255	140	36
46	5.458	255	255	255	46	179
47	0.348	255	255	255	466	343
48	0.973	255	255	255	262	25
49	2.177	255	255	255	17	300
50	0.305	255	255	255	236	344
51	1.597	255	255	255	69	2
52	1.756	255	255	255	202	22
53	0.900	255	255	255	400	98
54	3.193	255	255	255	411	356
55	3.368	255	255	255	125	385
56	1.060	255	255	255	309	29
57	0.682	255	255	255	370	31
58	1.727	255	255	255	189	95
59	1.524	255	255	255	196	178
60	1.292	255	255	255	207	222
61	0.755	255	255	255	360	267
62	0.653	255	255	255	351	105
63	1.916	255	255	255	77	162
64	0.377	255	255	255	408	355
65	0.348	255	255	255	112	388
66	0.421	255	255	255	26	457
67	1.771	255	255	255	409	30
68	0.305	255	255	255	174	117
69	0.348	255	255	255	322	25
70	0.726	255	255	255	478	72
71	1.364	255	255	255	188	88
72	1.118	255	255	255	435	109
73	2.889	255	255	255	432	169
74	1.640	255	255	255	238	208
75	1.423	255	255	255	440	105
76	2.134	255	255	255	440	127
77	1.161	255	255	255	334	217
78	1.118	255	255	255	173	255
79	0.581	255	255	255	369	321
80	4.050	255	255	255	25	289
81	1.277	255	255	255	166	292
82	2.279	255	255	255	37	377
83	2.468	255	255	255	121	49
84	1.698	255	255	255	189	98
85	1.698	255	255	255	379	111
86	1.161	255	255	255	343	118
87	1.640	255	255	255	42	126
88	1.306	255	255	255	320	90
89	0.334	255	255	255	17	261
90	2.598	255	255	255	143	20
91	4.384	255	255	255	90	67
92	2.889	255	255	255	318	84
93	1.887	255	255	255	79	117
94	3.411	255	255	255	265	208
95	1.452	255	255	255	453	242
96	1.452	255	255	255	380	102
97	0.784	255	255	255	453	133
98	0.261	255	255	255	65	177
99	2.061	255	255	255	317	337
100	0.348	255	255	255	351	348
101	0.885	255	255	255	437	168
102	2.381	255	255	255	254	206
103	3.368	255	255	255	337	179
104	2.874	255	255	255	106	191
105	1.640	255	255	255	192	259
106	1.292	255	255	255	306	273
107	1.176	255	255	255	327	20
108	1.756	255	255	255	342	50
109	1.698	255	255	255	393	132
110	0.348	255	255	255	441	145
111	0.944	255	255	255	314	320
112	2.061	255	255	255	235	11
113	2.685	255	255	255	135	41
114	1.974	255	255	255	414	151
115	2.047	255	255	255	190	419
116	0.784	255	255	255	252	466
117	1.553	255	255	255	411	259
118	0.726	255	255	255	236	307
119	1.408	255	255	255	285	22
120	0.929	255	255	255	292	39
121	0.232	255	255	255	376	44
122	1.771	255	255	255	254	348
123	0.929	255	255	255	475	23
124	1.118	255	255	255	89	103
125	1.118	255	255	255	51	115
126	0.232	255	255	255	91	185
127	3.092	255	255	255	184	358
128	1.335	255	255	255	426	30
129	2.468	255	255	255	329	112
130	2.206	255	255	255	241	202
131	1.394	255	255	255	173	245
132	1.829	255	255	255	246	290
133	3.208	255	255	255	398	298
134	2.816	255	255	255	144	5
135	0.987	255	255	255	406	39
136	3.977	255	255	255	317	55
137	0.435	255	255	255	113	114
138	0.261	255	255	255	451	299
139	0.334	255	255	255	87	306
140	1.785	255	255	255	454	24
