 	Area	Mean	Min	Max	XStart	YStart
1	1.495	255	255	255	75	14
2	0.944	255	255	255	157	18
3	2.381	255	255	255	79	56
4	2.497	255	255	255	429	241
5	1.292	255	255	255	266	19
6	4.747	255	255	255	476	92
7	0.929	255	255	255	243	115
8	1.074	255	255	255	298	122
9	1.306	255	255	255	162	158
10	1.887	255	255	255	244	177
11	1.873	255	255	255	63	186
12	2.264	255	255	255	428	200
13	1.553	255	255	255	272	336
14	0.755	255	255	255	48	69
15	2.177	255	255	255	7	76
16	1.524	255	255	255	165	109
17	1.437	255	255	255	406	216
18	1.219	255	255	255	119	246
19	0.247	255	255	255	240	412
20	0.334	255	255	255	186	8
21	2.003	255	255	255	430	9
22	0.842	255	255	255	342	113
23	4.732	255	255	255	305	218
24	2.018	255	255	255	219	294
25	0.261	255	255	255	238	45
26	1.147	255	255	255	451	100
27	0.871	255	255	255	325	163
28	0.479	255	255	255	436	239
29	0.740	255	255	255	485	7
30	3.426	255	255	255	382	9
31	0.813	255	255	255	456	31
32	6.793	255	255	255	410	88
33	0.755	255	255	255	190	145
34	1.713	255	255	255	343	185
35	1.002	255	255	255	475	226
36	3.324	255	255	255	127	275
37	0.929	255	255	255	449	103
38	1.727	255	255	255	478	227
39	1.931	255	255	255	78	263
40	2.279	255	255	255	288	309
41	5.777	255	255	255	59	8
42	2.061	255	255	255	93	51
43	0.465	255	255	255	140	253
44	7.868	255	255	255	401	267
45	6.082	255	255	255	278	361
46	1.306	255	255	255	98	44
47	1.974	255	255	255	92	122
48	0.276	255	255	255	239	303
49	1.190	255	255	255	321	437
50	1.132	255	255	255	127	10
51	0.755	255	255	255	209	157
52	0.232	255	255	255	312	199
53	1.539	255	255	255	44	208
54	1.742	255	255	255	475	223
55	3.150	255	255	255	209	243
56	0.900	255	255	255	243	32
57	0.261	255	255	255	338	34
58	0.494	255	255	255	447	96
59	4.848	255	255	255	466	305
60	2.526	255	255	255	402	415
61	2.134	255	255	255	76	3
62	0.232	255	255	255	190	55
63	2.308	255	255	255	360	102
64	4.282	255	255	255	17	104
65	1.539	255	255	255	60	225
66	1.960	255	255	255	361	246
67	1.640	255	255	255	261	278
68	1.829	255	255	255	285	337
69	2.918	255	255	255	121	371
70	3.193	255	255	255	309	400
71	2.032	255	255	255	9	141
72	7.287	255	255	255	85	187
73	1.205	255	255	255	367	285
74	7.693	255	255	255	111	286
75	0.958	255	255	255	351	8
76	1.132	255	255	255	210	50
77	3.498	255	255	255	364	80
78	0.334	255	255	255	282	86
79	0.885	255	255	255	124	88
80	1.089	255	255	255	210	208
81	0.885	255	255	255	425	220
82	1.771	255	255	255	312	2
83	1.089	255	255	255	64	29
84	1.597	255	255	255	277	59
85	1.205	255	255	255	216	179
86	3.353	255	255	255	274	389
87	2.308	255	255	255	280	413
88	1.539	255	255	255	481	20
89	4.863	255	255	255	129	33
90	2.802	255	255	255	417	66
91	2.656	255	255	255	249	84
92	1.916	255	255	255	202	88
93	1.060	255	255	255	254	101
94	3.092	255	255	255	170	141
95	2.976	255	255	255	89	153
96	1.626	255	255	255	358	249
97	0.929	255	255	255	220	251
98	6.924	255	255	255	286	311
99	0.726	255	255	255	386	20
100	2.947	255	255	255	81	97
101	5.008	255	255	255	379	115
102	2.105	255	255	255	224	134
103	0.813	255	255	255	457	137
104	6.605	255	255	255	355	154
105	8.739	255	255	255	267	198
106	5.052	255	255	255	308	211
107	1.742	255	255	255	352	294
108	1.684	255	255	255	438	24
109	5.110	255	255	255	334	33
110	0.784	255	255	255	300	46
111	1.481	255	255	255	346	71
112	1.132	255	255	255	412	227
113	1.611	255	255	255	466	330
114	2.192	255	255	255	460	376
115	2.540	255	255	255	121	74
116	1.147	255	255	255	428	145
117	4.035	255	255	255	40	254
118	0.973	255	255	255	413	145
119	1.292	255	255	255	355	307
120	3.005	255	255	255	164	313
121	3.353	255	255	255	149	323
122	0.319	255	255	255	238	459
123	0.929	255	255	255	374	41
124	1.205	255	255	255	399	55
125	0.363	255	255	255	412	63
126	1.002	255	255	255	186	136
127	1.379	255	255	255	476	312
128	1.423	255	255	255	266	10
129	1.640	255	255	255	127	37
130	1.016	255	255	255	482	47
131	1.292	255	255	255	63	54
132	1.582	255	255	255	455	80
133	4.210	255	255	255	368	99
134	1.452	255	255	255	265	124
135	1.553	255	255	255	430	232
136	0.827	255	255	255	433	264
137	6.619	255	255	255	308	44
138	0.929	255	255	255	188	57
139	0.929	255	255	255	271	108
140	0.827	255	255	255	156	206
141	1.916	255	255	255	181	270
142	0.537	255	255	255	78	283
143	2.787	255	255	255	344	372
144	1.335	255	255	255	419	3
145	1.335	255	255	255	299	32
146	2.148	255	255	255	207	55
147	1.916	255	255	255	274	114
148	3.034	255	255	255	463	124
149	1.684	255	255	255	200	12
150	2.163	255	255	255	28	34
151	3.077	255	255	255	174	115
152	2.163	255	255	255	458	133
153	3.179	255	255	255	386	136
154	1.292	255	255	255	454	158
155	1.684	255	255	255	267	199
156	6.532	255	255	255	267	263
157	2.352	255	255	255	448	370
158	0.871	255	255	255	429	420
159	11.700	255	255	255	274	43
160	1.873	255	255	255	71	99
161	1.960	255	255	255	33	147
162	11.642	255	255	255	77	152
163	2.961	255	255	255	415	24
164	1.655	255	255	255	465	31
165	1.219	255	255	255	372	109
166	3.164	255	255	255	324	131
167	0.276	255	255	255	343	214
168	1.263	255	255	255	424	230
169	1.437	255	255	255	342	238
170	0.929	255	255	255	469	288
171	0.334	255	255	255	420	11
172	3.890	255	255	255	46	68
173	0.697	255	255	255	196	99
174	0.784	255	255	255	461	107
175	2.119	255	255	255	452	192
176	1.481	255	255	255	207	262
177	1.234	255	255	255	444	45
178	1.423	255	255	255	342	55
179	6.808	255	255	255	160	57
180	4.834	255	255	255	247	74
181	6.590	255	255	255	59	244
182	1.756	255	255	255	157	310
183	0.348	255	255	255	275	311
184	1.060	255	255	255	424	59
185	2.860	255	255	255	360	78
186	0.944	255	255	255	130	92
187	3.063	255	255	255	203	131
188	1.423	255	255	255	158	218
189	1.118	255	255	255	474	12
190	0.726	255	255	255	227	37
191	2.294	255	255	255	104	64
192	3.382	255	255	255	443	117
193	1.524	255	255	255	490	192
194	1.248	255	255	255	488	328
195	3.339	255	255	255	210	338
196	1.074	255	255	255	187	1
197	4.848	255	255	255	48	50
198	1.655	255	255	255	286	178
199	1.989	255	255	255	189	357
200	3.469	255	255	255	240	367
201	1.408	255	255	255	269	392
202	1.074	255	255	255	231	55
203	4.137	255	255	255	174	92
204	3.005	255	255	255	194	105
205	0.784	255	255	255	343	113
206	5.197	255	255	255	428	113
207	3.005	255	255	255	297	140
208	2.555	255	255	255	152	173
209	1.452	255	255	255	338	181
210	0.929	255	255	255	306	196
211	1.103	255	255	255	296	216
212	0.653	255	255	255	313	262
213	2.410	255	255	255	90	270
214	4.776	255	255	255	292	353
215	1.437	255	255	255	431	22
216	4.021	255	255	255	56	32
217	2.627	255	255	255	271	46
218	2.366	255	255	255	181	140
219	2.468	255	255	255	330	141
220	1.437	255	255	255	265	162
221	4.718	255	255	255	392	187
222	1.466	255	255	255	126	289
223	1.742	255	255	255	149	291
224	2.758	255	255	255	436	296
225	2.627	255	255	255	201	351
226	4.848	255	255	255	245	2
227	0.755	255	255	255	480	72
228	2.076	255	255	255	180	109
229	1.277	255	255	255	208	113
230	6.764	255	255	255	292	117
231	0.813	255	255	255	474	119
232	2.119	255	255	255	490	132
233	1.234	255	255	255	450	213
234	3.847	255	255	255	151	264
235	2.279	255	255	255	162	290
236	2.206	255	255	255	259	294
237	2.250	255	255	255	291	406
238	2.685	255	255	255	279	68
239	1.553	255	255	255	137	99
240	2.090	255	255	255	278	135
241	3.135	255	255	255	108	141
242	1.176	255	255	255	408	319
243	0.871	255	255	255	131	16
244	1.960	255	255	255	67	30
245	1.756	255	255	255	287	91
246	3.048	255	255	255	180	216
247	0.261	255	255	255	487	217
248	1.539	255	255	255	266	270
249	2.134	255	255	255	478	274
250	1.132	255	255	255	472	330
251	1.016	255	255	255	68	14
252	3.164	255	255	255	37	115
253	11.947	255	255	255	261	134
254	3.643	255	255	255	472	144
