 	Area	Mean	Min	Max	XStart	YStart
1	1.147	255	255	255	90	29
2	1.190	255	255	255	336	58
3	0.929	255	255	255	127	70
4	1.437	255	255	255	162	131
5	6.256	255	255	255	157	280
6	2.076	255	255	255	298	339
7	1.698	255	255	255	51	363
8	2.410	255	255	255	103	26
9	2.555	255	255	255	446	39
10	3.063	255	255	255	52	43
11	7.766	255	255	255	302	82
12	4.311	255	255	255	22	90
13	2.613	255	255	255	450	149
14	1.945	255	255	255	299	190
15	1.016	255	255	255	399	55
16	1.292	255	255	255	205	111
17	1.306	255	255	255	165	140
18	0.827	255	255	255	306	167
19	0.784	255	255	255	90	180
20	2.671	255	255	255	44	205
21	0.305	255	255	255	257	53
22	0.740	255	255	255	146	89
23	2.497	255	255	255	329	149
24	8.056	255	255	255	31	369
25	2.410	255	255	255	15	24
26	0.377	255	255	255	460	144
27	0.319	255	255	255	310	11
28	0.900	255	255	255	82	20
29	0.334	255	255	255	236	33
30	0.421	255	255	255	370	249
31	0.261	255	255	255	245	401
32	2.468	255	255	255	184	6
33	1.684	255	255	255	104	49
34	0.334	255	255	255	390	238
35	0.827	255	255	255	436	18
36	0.392	255	255	255	439	30
37	5.255	255	255	255	128	88
38	3.106	255	255	255	383	170
39	1.858	255	255	255	153	186
40	1.277	255	255	255	288	284
41	0.334	255	255	255	159	162
42	0.929	255	255	255	90	23
43	1.713	255	255	255	315	57
44	1.089	255	255	255	461	115
45	3.295	255	255	255	474	158
46	0.261	255	255	255	203	181
47	0.392	255	255	255	451	119
48	0.537	255	255	255	206	179
49	1.553	255	255	255	240	181
50	1.902	255	255	255	154	224
51	1.698	255	255	255	186	3
52	0.740	255	255	255	481	121
53	0.348	255	255	255	185	153
54	1.452	255	255	255	220	180
55	2.235	255	255	255	412	420
56	0.740	255	255	255	262	84
57	3.687	255	255	255	25	147
58	1.568	255	255	255	59	301
59	1.031	255	255	255	484	344
60	0.958	255	255	255	78	43
61	0.305	255	255	255	36	216
62	0.871	255	255	255	321	382
63	1.292	255	255	255	143	134
64	3.861	255	255	255	418	170
65	1.553	255	255	255	222	244
66	1.045	255	255	255	106	1
67	1.306	255	255	255	191	40
68	2.424	255	255	255	255	48
69	1.916	255	255	255	377	74
70	0.958	255	255	255	72	109
71	1.205	255	255	255	339	32
72	11.322	255	255	255	137	151
73	2.235	255	255	255	259	164
74	6.271	255	255	255	186	280
75	13.471	255	255	255	312	10
76	0.726	255	255	255	409	308
77	1.742	255	255	255	24	2
78	0.348	255	255	255	138	10
79	1.234	255	255	255	33	82
80	0.232	255	255	255	192	138
81	0.929	255	255	255	29	141
82	12.789	255	255	255	173	240
83	6.634	255	255	255	163	292
84	1.147	255	255	255	153	4
85	3.223	255	255	255	127	19
86	0.842	255	255	255	367	20
87	1.640	255	255	255	200	33
88	0.465	255	255	255	12	113
89	0.232	255	255	255	62	248
90	0.261	255	255	255	406	280
91	1.103	255	255	255	387	290
92	1.234	255	255	255	7	56
93	1.205	255	255	255	464	120
94	2.424	255	255	255	170	140
95	0.261	255	255	255	44	328
96	1.394	255	255	255	135	51
97	0.334	255	255	255	258	51
98	1.060	255	255	255	237	91
99	1.089	255	255	255	100	102
100	1.408	255	255	255	388	376
101	3.687	255	255	255	64	388
102	0.987	255	255	255	202	121
103	1.060	255	255	255	36	206
104	1.423	255	255	255	492	429
105	0.232	255	255	255	111	333
106	3.614	255	255	255	139	8
107	0.697	255	255	255	216	110
108	1.423	255	255	255	112	180
109	0.232	255	255	255	244	327
110	1.655	255	255	255	72	45
111	6.677	255	255	255	259	71
112	11.801	255	255	255	157	122
113	0.421	255	255	255	21	364
114	1.597	255	255	255	230	22
115	1.161	255	255	255	323	63
116	1.031	255	255	255	379	101
117	1.234	255	255	255	80	1
118	1.335	255	255	255	184	37
119	1.394	255	255	255	166	47
120	2.235	255	255	255	318	60
121	2.352	255	255	255	253	85
122	1.539	255	255	255	74	157
123	2.221	255	255	255	91	195
124	0.915	255	255	255	72	207
125	1.045	255	255	255	65	265
126	5.197	255	255	255	83	340
127	0.290	255	255	255	421	71
128	7.926	255	255	255	82	73
129	3.179	255	255	255	28	128
130	1.727	255	255	255	87	285
131	0.682	255	255	255	28	299
132	2.381	255	255	255	139	196
133	1.205	255	255	255	314	254
134	0.348	255	255	255	122	317
135	4.863	255	255	255	166	408
136	0.842	255	255	255	199	189
137	5.560	255	255	255	312	261
138	2.497	255	255	255	146	311
139	0.435	255	255	255	75	359
140	1.190	255	255	255	352	26
141	1.524	255	255	255	93	61
142	1.887	255	255	255	298	74
143	0.261	255	255	255	282	84
