 	Area	Mean	Min	Max	XStart	YStart
1	3.905	255	255	255	335	71
2	1.103	255	255	255	241	78
3	0.842	255	255	255	491	82
4	0.232	255	255	255	136	92
5	1.553	255	255	255	77	107
6	1.408	255	255	255	300	121
7	0.363	255	255	255	368	153
8	3.803	255	255	255	254	169
9	1.931	255	255	255	339	312
10	2.047	255	255	255	400	353
11	2.889	255	255	255	336	354
12	1.698	255	255	255	50	82
13	1.089	255	255	255	457	93
14	4.253	255	255	255	385	120
15	4.268	255	255	255	306	148
16	1.771	255	255	255	442	175
17	2.163	255	255	255	490	209
18	1.176	255	255	255	258	233
19	2.003	255	255	255	321	235
20	1.669	255	255	255	351	285
21	0.523	255	255	255	474	291
22	0.435	255	255	255	408	365
23	2.047	255	255	255	437	26
24	1.829	255	255	255	94	45
25	2.656	255	255	255	323	192
26	1.684	255	255	255	450	312
27	14.138	255	255	255	284	333
28	2.177	255	255	255	89	415
29	0.987	255	255	255	208	18
30	0.973	255	255	255	203	33
31	6.024	255	255	255	95	61
32	2.961	255	255	255	202	70
33	8.085	255	255	255	402	106
34	1.423	255	255	255	232	123
35	1.568	255	255	255	298	124
36	2.511	255	255	255	81	143
37	2.337	255	255	255	171	159
38	7.403	255	255	255	204	163
39	1.844	255	255	255	485	52
40	2.395	255	255	255	440	100
41	0.900	255	255	255	217	113
42	2.410	255	255	255	457	142
43	0.929	255	255	255	418	149
44	1.785	255	255	255	311	215
45	6.852	255	255	255	188	218
46	2.816	255	255	255	388	229
47	1.263	255	255	255	421	259
48	1.495	255	255	255	347	289
49	1.263	255	255	255	354	321
50	3.266	255	255	255	442	394
51	2.976	255	255	255	327	418
52	1.306	255	255	255	436	16
53	1.452	255	255	255	270	70
54	1.466	255	255	255	246	100
55	3.600	255	255	255	411	117
56	0.827	255	255	255	389	118
57	0.885	255	255	255	489	178
58	1.640	255	255	255	419	264
59	2.540	255	255	255	250	268
60	1.016	255	255	255	460	273
61	2.613	255	255	255	391	6
62	2.540	255	255	255	223	15
63	0.900	255	255	255	139	47
64	2.308	255	255	255	361	83
65	7.781	255	255	255	455	135
66	4.282	255	255	255	400	166
67	2.177	255	255	255	455	184
68	2.976	255	255	255	194	195
69	3.019	255	255	255	440	195
70	0.958	255	255	255	377	246
71	2.381	255	255	255	265	254
72	10.524	255	255	255	364	269
73	2.468	255	255	255	127	296
74	7.810	255	255	255	444	376
75	12.150	255	255	255	374	2
76	0.929	255	255	255	85	114
77	2.352	255	255	255	474	162
78	4.703	255	255	255	437	182
79	2.424	255	255	255	445	244
80	5.734	255	255	255	394	265
81	2.482	255	255	255	217	300
82	1.466	255	255	255	385	420
83	6.111	255	255	255	390	8
84	1.263	255	255	255	215	13
85	1.176	255	255	255	143	15
86	2.192	255	255	255	295	42
87	0.276	255	255	255	50	46
88	2.264	255	255	255	331	83
89	2.990	255	255	255	294	92
90	2.395	255	255	255	389	126
91	0.885	255	255	255	472	153
92	2.613	255	255	255	272	201
93	2.424	255	255	255	336	242
94	1.335	255	255	255	436	336
95	3.426	255	255	255	264	3
96	1.844	255	255	255	422	17
97	4.369	255	255	255	169	91
98	6.227	255	255	255	271	141
99	3.992	255	255	255	198	145
100	2.047	255	255	255	413	148
101	7.984	255	255	255	235	178
102	6.068	255	255	255	305	227
103	1.394	255	255	255	261	275
104	2.235	255	255	255	320	402
105	0.827	255	255	255	437	433
106	0.958	255	255	255	231	12
107	1.495	255	255	255	261	15
108	1.132	255	255	255	17	23
109	1.698	255	255	255	315	30
110	4.790	255	255	255	341	43
111	0.334	255	255	255	234	51
112	3.339	255	255	255	441	60
113	1.495	255	255	255	183	106
114	1.016	255	255	255	245	175
115	1.785	255	255	255	215	410
116	1.263	255	255	255	490	28
117	1.829	255	255	255	126	33
118	1.713	255	255	255	380	38
119	1.452	255	255	255	371	47
120	6.256	255	255	255	351	96
121	2.018	255	255	255	373	103
122	0.726	255	255	255	213	104
123	0.929	255	255	255	372	152
124	1.597	255	255	255	438	228
125	1.785	255	255	255	215	253
126	4.108	255	255	255	448	5
127	2.439	255	255	255	461	41
128	7.606	255	255	255	178	63
129	1.916	255	255	255	96	68
130	3.324	255	255	255	314	68
131	4.355	255	255	255	129	79
132	4.413	255	255	255	191	147
133	1.248	255	255	255	264	162
134	0.929	255	255	255	349	167
135	1.089	255	255	255	245	189
