 	Area	Mean	Min	Max	XStart	YStart
1	2.497	255	255	255	376	6
2	0.363	255	255	255	433	24
3	12.368	255	255	255	263	66
4	4.877	255	255	255	363	145
5	7.374	255	255	255	429	151
6	1.118	255	255	255	374	200
7	1.539	255	255	255	493	234
8	0.987	255	255	255	490	256
9	17.245	255	255	255	405	362
10	8.303	255	255	255	309	366
11	5.893	255	255	255	278	32
12	1.219	255	255	255	290	81
13	1.205	255	255	255	211	83
14	0.871	255	255	255	95	213
15	3.789	255	255	255	82	330
16	0.406	255	255	255	287	464
17	0.261	255	255	255	191	170
18	6.329	255	255	255	262	205
19	2.453	255	255	255	239	238
20	3.716	255	255	255	160	248
21	0.276	255	255	255	411	324
22	3.179	255	255	255	456	454
23	0.929	255	255	255	364	4
24	1.756	255	255	255	192	23
25	2.903	255	255	255	446	33
26	1.248	255	255	255	89	36
27	2.395	255	255	255	352	65
28	5.734	255	255	255	456	137
29	3.179	255	255	255	193	146
30	3.513	255	255	255	380	209
31	1.945	255	255	255	181	234
32	0.624	255	255	255	348	235
33	1.219	255	255	255	462	264
34	14.792	255	255	255	399	272
35	0.348	255	255	255	66	13
36	1.234	255	255	255	133	67
37	1.495	255	255	255	357	68
38	3.266	255	255	255	475	94
39	3.310	255	255	255	228	231
40	1.611	255	255	255	399	236
41	1.219	255	255	255	278	253
42	4.282	255	255	255	68	271
43	1.045	255	255	255	440	351
44	2.323	255	255	255	142	411
45	2.192	255	255	255	457	447
46	4.006	255	255	255	13	118
47	9.653	255	255	255	25	184
48	0.363	255	255	255	368	212
49	11.439	255	255	255	193	220
50	6.256	255	255	255	469	371
51	1.553	255	255	255	378	429
52	1.655	255	255	255	321	82
53	2.395	255	255	255	246	176
54	2.032	255	255	255	57	180
55	1.698	255	255	255	480	187
56	7.374	255	255	255	224	196
57	1.190	255	255	255	172	230
58	2.831	255	255	255	361	252
59	1.132	255	255	255	378	372
60	5.385	255	255	255	426	396
61	0.261	255	255	255	484	419
62	1.277	255	255	255	121	23
63	0.261	255	255	255	278	62
64	1.234	255	255	255	203	71
65	8.390	255	255	255	256	81
66	0.305	255	255	255	438	84
67	1.089	255	255	255	354	100
68	0.435	255	255	255	456	130
69	1.640	255	255	255	291	171
70	1.147	255	255	255	254	239
71	2.105	255	255	255	287	253
72	0.276	255	255	255	365	406
73	1.742	255	255	255	79	93
74	0.929	255	255	255	486	126
75	7.969	255	255	255	192	146
76	3.585	255	255	255	346	188
77	34.228	255	255	255	208	224
78	0.958	255	255	255	401	310
79	12.034	255	255	255	421	366
80	0.363	255	255	255	375	374
81	2.874	255	255	255	191	453
82	9.203	255	255	255	471	113
83	1.785	255	255	255	422	156
84	17.767	255	255	255	442	163
85	1.423	255	255	255	458	212
86	3.135	255	255	255	274	282
87	1.248	255	255	255	76	428
88	0.377	255	255	255	399	33
89	2.134	255	255	255	229	36
90	0.334	255	255	255	475	61
91	1.132	255	255	255	169	66
92	1.785	255	255	255	359	152
93	1.698	255	255	255	473	166
94	2.613	255	255	255	204	183
95	2.453	255	255	255	434	183
96	3.135	255	255	255	186	219
97	1.248	255	255	255	480	348
98	0.624	255	255	255	459	393
99	2.598	255	255	255	267	407
100	8.071	255	255	255	383	439
101	1.960	255	255	255	227	38
102	0.479	255	255	255	452	79
103	0.944	255	255	255	292	173
104	0.392	255	255	255	188	190
105	2.395	255	255	255	352	201
106	0.813	255	255	255	363	229
107	2.453	255	255	255	146	271
108	1.510	255	255	255	475	381
109	1.452	255	255	255	183	1
110	7.577	255	255	255	219	8
111	1.394	255	255	255	66	220
112	2.787	255	255	255	491	308
113	6.431	255	255	255	195	3
114	4.964	255	255	255	163	19
115	0.958	255	255	255	183	39
116	0.261	255	255	255	485	60
117	13.238	255	255	255	66	69
118	16.548	255	255	255	379	81
119	1.248	255	255	255	345	87
120	15.517	255	255	255	461	92
121	1.539	255	255	255	158	95
122	5.864	255	255	255	293	98
123	2.656	255	255	255	415	102
124	4.326	255	255	255	89	107
125	1.945	255	255	255	459	163
126	1.306	255	255	255	205	206
127	0.494	255	255	255	314	233
128	2.090	255	255	255	214	265
129	1.669	255	255	255	478	266
130	3.513	255	255	255	218	378
131	3.223	255	255	255	435	385
132	0.348	255	255	255	461	385
133	3.600	255	255	255	280	398
134	0.363	255	255	255	472	45
135	3.034	255	255	255	91	48
136	1.800	255	255	255	264	132
137	4.079	255	255	255	46	197
138	0.305	255	255	255	308	334
139	0.305	255	255	255	117	442
140	2.439	255	255	255	433	6
141	0.813	255	255	255	379	12
142	1.655	255	255	255	458	25
143	3.295	255	255	255	441	44
144	2.976	255	255	255	406	67
145	0.276	255	255	255	147	68
146	1.553	255	255	255	472	153
147	6.997	255	255	255	350	159
148	3.484	255	255	255	285	186
149	0.871	255	255	255	16	243
150	2.714	255	255	255	378	276
151	1.873	255	255	255	302	29
152	0.915	255	255	255	130	60
153	1.379	255	255	255	337	73
154	3.063	255	255	255	346	93
155	1.916	255	255	255	113	101
156	3.135	255	255	255	250	121
157	3.789	255	255	255	452	157
158	1.219	255	255	255	114	168
159	11.613	255	255	255	399	228
160	2.381	255	255	255	332	246
161	9.682	255	255	255	448	248
162	0.726	255	255	255	482	269
163	1.756	255	255	255	376	275
164	1.364	255	255	255	388	340
165	2.656	255	255	255	354	383
166	3.063	255	255	255	400	2
167	1.016	255	255	255	459	29
168	2.323	255	255	255	415	40
169	0.334	255	255	255	127	41
170	1.466	255	255	255	418	150
