 	Area	Mean	Min	Max	XStart	YStart
1	0.334	255	255	255	485	163
2	0.900	255	255	255	198	296
3	0.319	255	255	255	282	298
4	0.392	255	255	255	486	306
5	0.261	255	255	255	476	318
6	0.987	255	255	255	112	103
7	1.306	255	255	255	417	191
8	0.334	255	255	255	181	197
9	0.348	255	255	255	21	237
10	0.261	255	255	255	74	288
11	0.261	255	255	255	52	326
12	0.232	255	255	255	440	351
13	0.305	255	255	255	174	91
14	0.581	255	255	255	481	184
15	1.756	255	255	255	442	233
16	0.668	255	255	255	320	256
17	0.595	255	255	255	471	350
18	0.276	255	255	255	350	379
19	0.261	255	255	255	31	90
20	1.960	255	255	255	308	119
21	0.784	255	255	255	419	174
22	0.232	255	255	255	258	240
23	0.348	255	255	255	452	355
24	0.900	255	255	255	249	65
25	0.305	255	255	255	467	178
26	12.629	255	255	255	412	202
27	1.582	255	255	255	135	224
28	0.958	255	255	255	250	378
29	0.363	255	255	255	330	409
30	0.261	255	255	255	216	472
31	0.261	255	255	255	228	18
32	0.305	255	255	255	262	91
33	0.755	255	255	255	40	287
34	0.377	255	255	255	350	381
35	0.261	255	255	255	481	395
36	2.424	255	255	255	365	11
37	3.077	255	255	255	238	25
38	3.310	255	255	255	328	37
39	1.510	255	255	255	244	86
40	0.334	255	255	255	412	105
41	3.005	255	255	255	57	135
42	0.392	255	255	255	357	275
43	0.261	255	255	255	238	344
44	0.494	255	255	255	447	29
45	0.232	255	255	255	262	200
46	0.755	255	255	255	375	283
47	0.377	255	255	255	377	337
48	0.392	255	255	255	492	376
49	0.276	255	255	255	172	388
50	0.305	255	255	255	129	426
51	0.392	255	255	255	351	39
52	1.132	255	255	255	232	195
53	0.261	255	255	255	86	281
54	0.479	255	255	255	198	336
55	0.363	255	255	255	237	344
56	0.232	255	255	255	411	422
57	3.121	255	255	255	336	445
58	1.931	255	255	255	143	4
59	0.290	255	255	255	467	78
60	0.305	255	255	255	351	136
61	1.321	255	255	255	217	142
62	0.334	255	255	255	451	343
63	0.334	255	255	255	390	361
64	0.334	255	255	255	73	371
65	1.002	255	255	255	167	399
66	0.392	255	255	255	97	10
67	0.305	255	255	255	454	14
68	0.261	255	255	255	242	53
69	0.552	255	255	255	255	67
70	0.435	255	255	255	432	223
71	0.261	255	255	255	418	248
72	2.279	255	255	255	250	305
73	0.305	255	255	255	452	357
74	0.232	255	255	255	246	438
75	0.261	255	255	255	318	49
76	0.261	255	255	255	314	96
77	0.290	255	255	255	352	298
78	0.958	255	255	255	193	36
79	0.987	255	255	255	464	91
80	0.435	255	255	255	482	97
81	0.348	255	255	255	175	436
82	0.798	255	255	255	216	13
83	0.247	255	255	255	480	27
84	0.348	255	255	255	287	42
85	1.829	255	255	255	311	45
86	0.334	255	255	255	15	79
87	0.305	255	255	255	176	161
88	2.018	255	255	255	390	238
89	0.392	255	255	255	349	301
90	0.348	255	255	255	177	363
91	0.740	255	255	255	453	390
92	0.958	255	255	255	167	399
93	0.740	255	255	255	310	412
94	0.348	255	255	255	102	436
95	0.276	255	255	255	418	111
96	1.568	255	255	255	37	153
97	0.232	255	255	255	33	198
98	0.377	255	255	255	327	267
99	0.871	255	255	255	199	297
100	0.624	255	255	255	92	379
101	0.305	255	255	255	363	396
102	0.276	255	255	255	487	410
103	1.263	255	255	255	165	172
104	0.276	255	255	255	316	193
105	0.261	255	255	255	352	296
106	0.247	255	255	255	375	97
107	0.232	255	255	255	294	320
108	0.261	255	255	255	376	341
109	0.232	255	255	255	290	428
110	0.581	255	255	255	247	20
111	0.348	255	255	255	334	20
112	0.406	255	255	255	330	28
113	1.002	255	255	255	375	90
114	0.769	255	255	255	116	284
115	0.348	255	255	255	427	299
116	0.305	255	255	255	330	391
117	0.305	255	255	255	354	399
118	0.334	255	255	255	386	57
119	0.290	255	255	255	361	65
120	0.421	255	255	255	202	207
121	0.755	255	255	255	239	261
122	0.348	255	255	255	61	296
123	0.363	255	255	255	281	297
124	0.319	255	255	255	378	343
125	0.610	255	255	255	414	201
126	0.406	255	255	255	265	252
127	2.061	255	255	255	449	322
128	0.261	255	255	255	107	427
129	1.016	255	255	255	210	12
130	0.319	255	255	255	426	139
131	0.276	255	255	255	439	235
132	0.624	255	255	255	193	325
133	0.973	255	255	255	237	343
134	1.495	255	255	255	367	361
135	0.566	255	255	255	289	427
136	0.435	255	255	255	390	53
137	0.261	255	255	255	314	69
138	0.392	255	255	255	158	105
139	0.334	255	255	255	219	105
140	1.234	255	255	255	187	162
141	0.334	255	255	255	286	273
142	0.276	255	255	255	243	4
143	0.348	255	255	255	251	25
144	0.435	255	255	255	91	92
145	0.392	255	255	255	394	139
146	0.697	255	255	255	486	220
147	0.334	255	255	255	403	300
148	0.334	255	255	255	349	426
149	1.045	255	255	255	395	94
150	0.276	255	255	255	267	287
151	0.290	255	255	255	263	399
152	0.305	255	255	255	487	410
153	0.261	255	255	255	309	101
154	0.958	255	255	255	251	224
155	0.377	255	255	255	179	363
156	1.219	255	255	255	116	283
157	0.406	255	255	255	42	368
158	0.232	255	255	255	246	438
159	0.261	255	255	255	284	124
160	0.232	255	255	255	28	144
161	0.508	255	255	255	149	207
162	0.232	255	255	255	485	79
163	0.319	255	255	255	149	285
164	0.305	255	255	255	351	345
165	0.305	255	255	255	354	399
166	0.232	255	255	255	127	42
167	0.276	255	255	255	375	50
168	0.348	255	255	255	175	340
169	0.261	255	255	255	65	347
170	0.261	255	255	255	376	397
171	0.334	255	255	255	216	426
172	0.261	255	255	255	230	450
173	0.421	255	255	255	463	103
174	0.392	255	255	255	453	331
175	1.510	255	255	255	473	99
176	0.261	255	255	255	139	109
177	1.190	255	255	255	70	120
178	0.261	255	255	255	496	201
179	0.392	255	255	255	399	232
180	0.348	255	255	255	74	260
181	0.261	255	255	255	272	345
182	0.261	255	255	255	489	104
183	0.261	255	255	255	328	120
184	0.406	255	255	255	452	138
185	1.945	255	255	255	163	192
186	0.392	255	255	255	74	255
187	0.305	255	255	255	450	280
188	0.232	255	255	255	86	400
189	0.421	255	255	255	148	12
190	0.392	255	255	255	219	69
191	0.566	255	255	255	395	93
192	1.132	255	255	255	449	99
193	4.863	255	255	255	234	101
194	2.802	255	255	255	407	118
195	0.537	255	255	255	315	183
196	0.261	255	255	255	29	318
197	0.334	255	255	255	367	349
198	2.003	255	255	255	93	399
199	1.539	255	255	255	447	61
200	0.871	255	255	255	190	175
201	0.232	255	255	255	453	231
202	0.334	255	255	255	254	272
203	1.292	255	255	255	160	295
204	0.305	255	255	255	85	320
205	0.305	255	255	255	350	379
206	1.510	255	255	255	280	7
207	0.261	255	255	255	350	51
208	0.276	255	255	255	90	85
209	1.190	255	255	255	468	169
210	2.018	255	255	255	17	222
211	0.668	255	255	255	303	242
212	0.392	255	255	255	30	33
213	0.319	255	255	255	293	32
214	0.305	255	255	255	149	86
215	0.276	255	255	255	137	94
216	0.973	255	255	255	22	158
217	0.276	255	255	255	174	207
218	0.348	255	255	255	331	242
219	0.261	255	255	255	48	249
220	0.377	255	255	255	34	254
221	0.348	255	255	255	113	274
222	0.334	255	255	255	133	276
223	1.727	255	255	255	229	338
224	0.435	255	255	255	204	357
225	0.348	255	255	255	361	362
226	0.856	255	255	255	168	399
227	0.392	255	255	255	66	429
228	0.348	255	255	255	400	19
229	0.392	255	255	255	15	36
230	0.261	255	255	255	378	117
231	0.305	255	255	255	238	277
232	0.537	255	255	255	413	335
233	0.334	255	255	255	89	60
234	2.177	255	255	255	63	267
235	0.348	255	255	255	435	317
236	0.261	255	255	255	139	396
237	0.334	255	255	255	294	300
238	0.334	255	255	255	328	454
239	1.292	255	255	255	410	134
240	0.334	255	255	255	267	309
241	1.379	255	255	255	153	3
242	1.321	255	255	255	42	33
243	2.410	255	255	255	261	60
244	0.261	255	255	255	36	104
245	0.334	255	255	255	154	193
246	0.479	255	255	255	56	347
247	0.319	255	255	255	93	380
248	0.348	255	255	255	405	380
249	0.334	255	255	255	2	18
250	0.537	255	255	255	408	40
251	0.406	255	255	255	350	80
252	0.348	255	255	255	378	374
253	0.406	255	255	255	411	410
254	6.532	255	255	255	392	25
255	0.232	255	255	255	135	42
256	3.324	255	255	255	89	77
257	0.334	255	255	255	49	268
258	0.944	255	255	255	351	296
259	0.305	255	255	255	196	297
260	0.276	255	255	255	176	365
261	0.392	255	255	255	422	172
262	0.494	255	255	255	411	177
263	0.334	255	255	255	482	397
264	0.261	255	255	255	168	398
265	0.377	255	255	255	200	39
266	0.392	255	255	255	133	101
267	1.611	255	255	255	152	103
268	0.406	255	255	255	376	140
269	0.232	255	255	255	269	148
270	4.747	255	255	255	42	180
271	3.803	255	255	255	457	295
272	0.334	255	255	255	440	318
273	1.684	255	255	255	107	6
274	1.306	255	255	255	67	45
275	0.798	255	255	255	115	285
276	1.132	255	255	255	198	295
277	0.726	255	255	255	351	296
278	0.334	255	255	255	351	318
279	0.334	255	255	255	159	321
280	0.334	255	255	255	73	370
281	1.306	255	255	255	127	427
282	0.929	255	255	255	467	3
283	1.669	255	255	255	449	322
284	0.261	255	255	255	352	379
285	0.247	255	255	255	384	4
286	0.450	255	255	255	382	27
287	0.435	255	255	255	438	96
288	0.348	255	255	255	332	168
289	0.305	255	255	255	449	295
290	0.392	255	255	255	100	314
291	0.435	255	255	255	137	398
292	0.827	255	255	255	103	3
293	0.334	255	255	255	217	67
294	1.002	255	255	255	476	111
295	1.756	255	255	255	196	199
296	0.319	255	255	255	435	287
297	0.610	255	255	255	289	427
298	0.334	255	255	255	200	447
299	1.234	255	255	255	50	26
300	0.232	255	255	255	150	257
301	0.261	255	255	255	327	300
302	0.232	255	255	255	27	340
303	0.624	255	255	255	114	395
304	0.232	255	255	255	16	430
305	0.348	255	255	255	485	5
306	1.524	255	255	255	208	12
307	0.276	255	255	255	85	28
308	1.539	255	255	255	266	36
309	1.002	255	255	255	366	44
310	1.118	255	255	255	492	124
311	0.305	255	255	255	8	143
312	6.213	255	255	255	149	161
313	0.305	255	255	255	453	11
314	4.282	255	255	255	37	47
315	0.348	255	255	255	237	275
316	0.276	255	255	255	229	451
317	9.972	255	255	255	169	22
318	0.987	255	255	255	126	27
319	0.247	255	255	255	73	343
320	1.350	255	255	255	216	138
321	0.261	255	255	255	424	68
322	1.219	255	255	255	136	91
323	0.334	255	255	255	112	259
324	0.305	255	255	255	331	409
325	1.394	255	255	255	343	12
326	2.235	255	255	255	432	46
327	1.147	255	255	255	229	59
328	1.945	255	255	255	271	79
329	2.526	255	255	255	105	103
330	1.539	255	255	255	409	138
331	7.113	255	255	255	329	195
332	2.947	255	255	255	274	237
333	2.337	255	255	255	126	31
334	0.581	255	255	255	376	108
335	8.768	255	255	255	466	288
336	0.261	255	255	255	112	317
337	0.435	255	255	255	32	344
338	4.819	255	255	255	282	354
339	0.465	255	255	255	391	360
340	0.276	255	255	255	434	318
341	0.334	255	255	255	470	331
342	8.027	255	255	255	442	394
343	8.956	255	255	255	465	64
344	1.190	255	255	255	44	79
345	0.740	255	255	255	426	381
346	0.392	255	255	255	283	32
347	4.587	255	255	255	19	37
348	0.305	255	255	255	278	178
349	0.348	255	255	255	123	208
350	1.045	255	255	255	314	230
351	0.261	255	255	255	413	335
352	0.377	255	255	255	451	342
353	0.334	255	255	255	368	430
354	0.363	255	255	255	351	75
355	0.334	255	255	255	413	78
356	0.276	255	255	255	203	189
357	1.060	255	255	255	377	256
358	0.987	255	255	255	22	295
359	0.319	255	255	255	378	343
360	0.856	255	255	255	168	398
361	0.232	255	255	255	16	36
362	0.740	255	255	255	326	64
363	0.305	255	255	255	47	184
364	0.406	255	255	255	84	207
365	1.306	255	255	255	65	219
366	0.305	255	255	255	283	299
367	1.074	255	255	255	39	301
368	0.363	255	255	255	348	379
369	0.915	255	255	255	438	433
370	2.468	255	255	255	222	3
371	0.232	255	255	255	377	177
372	0.435	255	255	255	300	222
373	0.334	255	255	255	266	293
374	0.261	255	255	255	65	347
375	0.232	255	255	255	352	380
376	0.377	255	255	255	87	61
377	0.348	255	255	255	27	72
378	0.392	255	255	255	350	113
379	0.261	255	255	255	439	122
380	0.334	255	255	255	18	141
381	0.392	255	255	255	355	167
382	0.348	255	255	255	59	172
383	0.276	255	255	255	61	189
384	0.305	255	255	255	87	210
385	0.232	255	255	255	217	360
386	0.290	255	255	255	449	379
387	0.334	255	255	255	245	437
388	0.261	255	255	255	147	42
389	0.334	255	255	255	154	87
390	0.334	255	255	255	453	110
391	0.232	255	255	255	351	380
392	0.232	255	255	255	35	399
393	0.842	255	255	255	278	96
394	0.261	255	255	255	2	160
395	0.885	255	255	255	175	320
396	0.261	255	255	255	230	449
397	1.248	255	255	255	217	27
398	0.348	255	255	255	272	44
399	0.290	255	255	255	360	48
400	0.363	255	255	255	413	119
401	7.839	255	255	255	268	198
402	1.089	255	255	255	188	215
403	0.261	255	255	255	30	228
404	0.232	255	255	255	205	343
405	0.290	255	255	255	365	344
406	0.871	255	255	255	228	357
407	0.334	255	255	255	262	395
408	1.002	255	255	255	438	432
409	1.263	255	255	255	408	81
410	0.334	255	255	255	98	251
411	3.905	255	255	255	299	35
412	15.140	255	255	255	79	54
413	1.205	255	255	255	118	61
414	0.334	255	255	255	176	61
415	0.523	255	255	255	473	86
416	0.871	255	255	255	238	112
417	1.887	255	255	255	56	160
418	9.595	255	255	255	144	272
419	1.045	255	255	255	94	275
420	0.261	255	255	255	354	399
421	2.206	255	255	255	209	89
422	1.219	255	255	255	223	197
423	2.119	255	255	255	364	208
424	0.261	255	255	255	414	336
425	1.364	255	255	255	387	57
426	1.016	255	255	255	206	86
427	0.305	255	255	255	216	88
428	1.103	255	255	255	331	106
429	1.960	255	255	255	225	170
430	1.045	255	255	255	286	181
431	0.261	255	255	255	392	186
432	1.219	255	255	255	333	277
433	0.944	255	255	255	352	296
434	0.827	255	255	255	70	318
435	0.479	255	255	255	375	341
436	0.305	255	255	255	352	344
437	0.334	255	255	255	155	346
438	2.047	255	255	255	352	106
439	1.800	255	255	255	108	141
440	0.392	255	255	255	74	288
441	0.740	255	255	255	240	352
442	0.537	255	255	255	455	389
443	0.363	255	255	255	432	394
444	0.435	255	255	255	12	90
445	0.377	255	255	255	292	101
446	0.755	255	255	255	309	102
447	0.435	255	255	255	448	174
448	0.552	255	255	255	215	197
449	0.697	255	255	255	70	288
450	1.292	255	255	255	86	304
451	0.319	255	255	255	174	322
452	0.305	255	255	255	491	437
453	1.205	255	255	255	387	44
454	0.392	255	255	255	237	45
455	0.290	255	255	255	185	58
456	1.089	255	255	255	90	77
457	0.348	255	255	255	414	335
458	4.079	255	255	255	469	106
459	0.842	255	255	255	447	269
460	0.334	255	255	255	482	397
461	0.842	255	255	255	168	399
462	1.161	255	255	255	246	20
463	1.190	255	255	255	360	32
464	0.348	255	255	255	374	47
465	0.319	255	255	255	496	60
466	0.261	255	255	255	450	90
467	0.842	255	255	255	309	117
468	3.034	255	255	255	312	222
469	1.960	255	255	255	433	228
470	1.553	255	255	255	473	259
471	1.626	255	255	255	309	65
472	1.771	255	255	255	330	134
473	0.726	255	255	255	335	221
474	7.882	255	255	255	218	231
475	0.726	255	255	255	351	297
476	0.276	255	255	255	428	300
477	1.031	255	255	255	126	76
478	2.918	255	255	255	42	163
479	0.334	255	255	255	261	199
480	0.305	255	255	255	295	299
481	4.006	255	255	255	400	22
482	2.526	255	255	255	310	75
483	1.626	255	255	255	311	196
484	0.305	255	255	255	258	223
485	0.348	255	255	255	398	344
486	0.261	255	255	255	114	395
487	0.305	255	255	255	55	398
488	0.305	255	255	255	265	455
489	0.261	255	255	255	56	14
490	0.334	255	255	255	394	107
491	2.526	255	255	255	344	117
492	1.495	255	255	255	161	153
493	0.610	255	255	255	11	247
494	0.232	255	255	255	84	249
495	1.350	255	255	255	189	269
496	14.864	255	255	255	479	269
497	0.232	255	255	255	177	279
498	0.334	255	255	255	20	298
499	4.790	255	255	255	19	395
500	1.698	255	255	255	250	9
501	2.337	255	255	255	446	73
502	0.377	255	255	255	159	162
503	0.261	255	255	255	353	298
504	0.276	255	255	255	76	300
505	0.305	255	255	255	203	373
506	0.377	255	255	255	28	390
507	0.552	255	255	255	289	427
508	0.421	255	255	255	247	39
509	2.105	255	255	255	315	53
510	0.232	255	255	255	304	60
511	0.247	255	255	255	203	127
512	0.290	255	255	255	96	297
513	0.958	255	255	255	168	453
514	0.305	255	255	255	464	32
515	0.348	255	255	255	99	272
516	0.319	255	255	255	281	437
517	0.319	255	255	255	44	62
518	1.118	255	255	255	186	62
519	0.261	255	255	255	36	75
520	0.392	255	255	255	413	143
521	0.261	255	255	255	126	224
522	0.421	255	255	255	454	330
523	0.566	255	255	255	294	406
524	0.305	255	255	255	100	447
525	0.305	255	255	255	288	463
526	0.232	255	255	255	229	15
527	1.089	255	255	255	119	42
528	1.045	255	255	255	68	63
529	0.392	255	255	255	219	68
530	0.944	255	255	255	285	68
531	0.334	255	255	255	385	71
532	0.377	255	255	255	74	79
533	0.290	255	255	255	126	196
534	0.421	255	255	255	32	285
535	0.566	255	255	255	350	379
536	0.334	255	255	255	155	420
537	0.406	255	255	255	107	427
538	0.856	255	255	255	84	102
539	1.829	255	255	255	410	136
540	1.829	255	255	255	193	154
541	0.406	255	255	255	375	247
542	3.295	255	255	255	28	294
543	0.261	255	255	255	436	94
544	0.653	255	255	255	348	165
545	0.261	255	255	255	425	290
546	0.406	255	255	255	236	345
547	1.510	255	255	255	413	348
