 	Area	Mean	Min	Max	XStart	YStart
1	0.348	255	255	255	229	258
2	0.392	255	255	255	200	125
3	1.902	255	255	255	226	143
4	0.232	255	255	255	266	341
5	1.321	255	255	255	46	175
6	1.437	255	255	255	124	181
7	0.915	255	255	255	391	170
8	0.305	255	255	255	301	171
9	0.232	255	255	255	277	243
10	2.569	255	255	255	352	8
11	1.350	255	255	255	84	286
12	0.232	255	255	255	158	403
13	0.232	255	255	255	26	292
14	0.334	255	255	255	290	428
15	1.974	255	255	255	150	11
16	1.190	255	255	255	52	223
17	0.885	255	255	255	152	33
18	0.973	255	255	255	71	457
19	0.363	255	255	255	69	274
20	0.566	255	255	255	289	427
21	0.915	255	255	255	234	4
22	2.032	255	255	255	402	55
23	2.250	255	255	255	374	130
24	0.305	255	255	255	174	91
25	0.261	255	255	255	351	349
26	0.392	255	255	255	452	355
27	0.406	255	255	255	279	454
28	3.368	255	255	255	391	44
29	1.074	255	255	255	454	84
30	0.523	255	255	255	72	162
31	0.247	255	255	255	61	367
32	0.856	255	255	255	442	145
33	2.569	255	255	255	128	150
34	0.668	255	255	255	303	394
35	1.074	255	255	255	166	29
36	0.232	255	255	255	41	161
37	1.016	255	255	255	335	369
38	0.261	255	255	255	203	194
39	0.232	255	255	255	49	463
40	0.929	255	255	255	400	107
41	0.334	255	255	255	287	239
42	0.348	255	255	255	391	406
43	1.205	255	255	255	350	20
44	0.261	255	255	255	162	100
45	0.348	255	255	255	269	154
46	0.334	255	255	255	351	240
47	0.261	255	255	255	58	245
48	0.232	255	255	255	264	213
49	0.261	255	255	255	229	382
50	0.334	255	255	255	128	237
51	0.261	255	255	255	372	166
52	1.074	255	255	255	74	225
53	1.089	255	255	255	211	196
54	0.610	255	255	255	9	341
55	0.305	255	255	255	354	399
56	4.311	255	255	255	108	371
57	1.829	255	255	255	140	51
58	1.785	255	255	255	395	74
59	5.545	255	255	255	101	171
60	1.379	255	255	255	119	430
61	0.915	255	255	255	119	249
62	0.261	255	255	255	400	61
63	1.089	255	255	255	27	324
64	1.756	255	255	255	477	179
65	1.248	255	255	255	114	367
66	1.118	255	255	255	355	199
67	0.305	255	255	255	145	37
68	0.363	255	255	255	111	355
69	5.676	255	255	255	278	122
70	7.795	255	255	255	72	265
71	1.147	255	255	255	340	188
72	0.305	255	255	255	474	179
73	0.334	255	255	255	432	424
74	1.132	255	255	255	8	331
75	1.364	255	255	255	28	337
76	0.276	255	255	255	169	400
77	0.232	255	255	255	158	90
78	2.119	255	255	255	481	263
79	0.987	255	255	255	4	133
80	0.377	255	255	255	120	268
81	0.319	255	255	255	136	92
82	0.232	255	255	255	76	398
83	0.334	255	255	255	31	449
84	0.261	255	255	255	419	248
85	1.568	255	255	255	18	310
86	1.118	255	255	255	294	44
87	0.929	255	255	255	143	295
88	0.276	255	255	255	272	6
89	2.439	255	255	255	298	46
90	1.902	255	255	255	32	334
91	0.377	255	255	255	112	14
92	1.931	255	255	255	438	196
93	0.944	255	255	255	189	390
94	1.060	255	255	255	4	294
95	2.540	255	255	255	210	8
96	3.092	255	255	255	85	219
97	0.334	255	255	255	313	90
98	0.305	255	255	255	202	43
99	1.002	255	255	255	366	268
100	2.279	255	255	255	93	269
101	1.727	255	255	255	211	238
102	3.847	255	255	255	14	341
103	1.626	255	255	255	117	9
104	0.261	255	255	255	209	195
105	1.190	255	255	255	369	207
106	0.856	255	255	255	163	212
107	0.958	255	255	255	48	114
108	2.439	255	255	255	113	149
109	3.861	255	255	255	111	274
110	0.232	255	255	255	165	364
111	1.074	255	255	255	81	321
112	1.263	255	255	255	119	182
113	1.713	255	255	255	160	118
114	10.103	255	255	255	414	291
115	1.306	255	255	255	135	391
116	1.495	255	255	255	207	99
117	1.829	255	255	255	64	52
118	1.350	255	255	255	196	91
119	0.900	255	255	255	252	277
120	2.497	255	255	255	35	56
121	1.190	255	255	255	235	93
122	1.582	255	255	255	305	388
123	0.247	255	255	255	156	34
124	1.858	255	255	255	74	64
125	1.684	255	255	255	102	125
126	0.406	255	255	255	453	361
127	0.232	255	255	255	15	47
128	0.261	255	255	255	226	166
129	0.987	255	255	255	233	45
130	0.987	255	255	255	487	145
131	0.261	255	255	255	376	72
132	1.539	255	255	255	273	184
133	0.842	255	255	255	21	249
134	1.684	255	255	255	377	254
135	1.495	255	255	255	81	453
136	1.161	255	255	255	224	77
137	2.961	255	255	255	176	367
138	1.045	255	255	255	410	403
139	0.261	255	255	255	54	80
140	0.232	255	255	255	464	51
141	0.929	255	255	255	71	238
142	1.611	255	255	255	374	100
143	0.784	255	255	255	45	185
144	0.973	255	255	255	359	235
145	0.885	255	255	255	84	254
146	0.348	255	255	255	297	113
147	0.334	255	255	255	1	225
