 	Area	Mean	Min	Max	XStart	YStart
1	1.176	255	255	255	395	17
2	1.321	255	255	255	447	112
3	2.439	255	255	255	236	235
4	1.844	255	255	255	351	279
5	2.627	255	255	255	144	429
6	0.711	255	255	255	409	438
7	1.103	255	255	255	440	8
8	4.558	255	255	255	265	17
9	1.277	255	255	255	352	19
10	1.611	255	255	255	484	50
11	0.915	255	255	255	429	98
12	1.031	255	255	255	469	98
13	3.063	255	255	255	485	114
14	0.334	255	255	255	353	177
15	0.784	255	255	255	346	171
16	0.842	255	255	255	293	219
17	0.885	255	255	255	329	222
18	1.597	255	255	255	369	74
19	2.105	255	255	255	156	162
20	1.568	255	255	255	267	165
21	0.261	255	255	255	449	211
22	2.540	255	255	255	84	225
23	0.232	255	255	255	366	233
24	1.089	255	255	255	395	263
25	2.802	255	255	255	280	314
26	0.232	255	255	255	191	83
27	1.321	255	255	255	168	92
28	0.987	255	255	255	244	115
29	0.711	255	255	255	293	428
30	0.290	255	255	255	286	437
31	0.624	255	255	255	252	89
32	1.031	255	255	255	64	220
33	2.163	255	255	255	423	243
34	0.305	255	255	255	448	297
35	3.455	255	255	255	128	329
36	1.045	255	255	255	299	406
37	0.305	255	255	255	171	6
38	0.435	255	255	255	346	7
39	1.263	255	255	255	151	34
40	1.756	255	255	255	384	96
41	0.465	255	255	255	34	158
42	3.600	255	255	255	428	34
43	1.858	255	255	255	187	36
44	1.771	255	255	255	20	62
45	2.671	255	255	255	264	88
46	0.363	255	255	255	210	127
47	6.634	255	255	255	237	131
48	7.563	255	255	255	448	385
49	0.305	255	255	255	443	2
50	1.277	255	255	255	179	42
51	1.960	255	255	255	293	149
52	0.726	255	255	255	341	173
53	0.377	255	255	255	354	176
54	0.290	255	255	255	61	184
55	1.176	255	255	255	254	231
56	1.756	255	255	255	134	248
57	0.305	255	255	255	448	252
58	0.871	255	255	255	449	268
59	0.305	255	255	255	388	372
60	5.487	255	255	255	197	1
61	1.031	255	255	255	43	79
62	0.856	255	255	255	216	139
63	1.147	255	255	255	338	175
64	0.305	255	255	255	277	2
65	0.798	255	255	255	155	69
66	1.234	255	255	255	467	131
67	12.992	255	255	255	360	214
68	0.261	255	255	255	183	280
69	0.508	255	255	255	291	388
70	1.277	255	255	255	467	32
71	0.479	255	255	255	482	206
72	0.348	255	255	255	405	210
73	3.484	255	255	255	289	292
74	1.858	255	255	255	373	294
75	3.063	255	255	255	255	28
76	0.261	255	255	255	295	82
77	4.514	255	255	255	402	135
78	3.411	255	255	255	436	154
79	0.261	255	255	255	302	163
80	10.205	255	255	255	296	167
81	2.860	255	255	255	404	261
82	0.595	255	255	255	175	271
83	0.348	255	255	255	398	368
84	3.716	255	255	255	219	50
85	4.137	255	255	255	471	96
86	1.248	255	255	255	460	248
87	1.423	255	255	255	266	278
88	1.568	255	255	255	309	315
89	2.758	255	255	255	400	328
90	0.842	255	255	255	351	344
91	1.306	255	255	255	336	18
92	1.132	255	255	255	450	90
93	0.261	255	255	255	355	105
94	1.016	255	255	255	321	145
95	0.348	255	255	255	219	240
96	0.319	255	255	255	388	341
97	2.366	255	255	255	109	30
98	9.261	255	255	255	301	51
99	1.945	255	255	255	103	70
100	0.261	255	255	255	414	108
101	0.740	255	255	255	361	142
102	0.261	255	255	255	282	143
103	1.887	255	255	255	429	158
104	0.232	255	255	255	400	395
105	1.437	255	255	255	317	61
106	1.611	255	255	255	77	70
107	1.684	255	255	255	293	160
108	4.123	255	255	255	389	184
109	0.755	255	255	255	486	257
110	0.305	255	255	255	318	337
111	0.261	255	255	255	50	364
112	1.205	255	255	255	177	42
113	1.219	255	255	255	423	112
114	0.305	255	255	255	285	193
115	1.263	255	255	255	482	236
116	0.348	255	255	255	479	422
117	0.377	255	255	255	30	439
118	0.973	255	255	255	364	1
119	1.263	255	255	255	312	17
120	0.697	255	255	255	166	42
121	0.406	255	255	255	485	44
122	0.261	255	255	255	189	45
123	0.798	255	255	255	239	46
124	0.958	255	255	255	492	76
125	0.363	255	255	255	267	120
126	1.161	255	255	255	462	134
127	0.944	255	255	255	484	41
128	1.190	255	255	255	394	140
129	0.261	255	255	255	279	321
130	0.377	255	255	255	176	363
131	0.290	255	255	255	99	389
132	1.669	255	255	255	321	28
133	0.813	255	255	255	419	35
134	2.105	255	255	255	434	75
135	2.555	255	255	255	467	106
136	0.885	255	255	255	377	256
137	0.305	255	255	255	286	8
138	0.871	255	255	255	218	28
139	0.319	255	255	255	305	82
140	0.813	255	255	255	344	102
141	1.045	255	255	255	266	206
142	0.755	255	255	255	326	343
143	1.350	255	255	255	215	372
144	1.931	255	255	255	328	378
145	0.348	255	255	255	394	86
146	3.513	255	255	255	193	92
147	1.437	255	255	255	360	119
148	1.190	255	255	255	372	151
149	3.092	255	255	255	326	35
150	1.060	255	255	255	355	118
151	1.887	255	255	255	290	152
152	1.611	255	255	255	366	180
153	1.742	255	255	255	386	245
154	2.395	255	255	255	391	343
155	0.334	255	255	255	440	394
156	1.423	255	255	255	223	49
157	1.423	255	255	255	256	59
158	0.973	255	255	255	275	91
159	1.902	255	255	255	348	166
160	1.655	255	255	255	442	22
161	1.597	255	255	255	332	40
162	0.711	255	255	255	316	60
163	0.435	255	255	255	77	72
164	4.790	255	255	255	409	306
165	1.364	255	255	255	494	412
166	6.779	255	255	255	288	70
167	1.597	255	255	255	311	125
168	1.103	255	255	255	305	159
169	0.305	255	255	255	483	162
170	2.482	255	255	255	142	198
171	0.726	255	255	255	116	284
172	1.829	255	255	255	352	410
173	1.771	255	255	255	362	105
174	5.647	255	255	255	464	69
175	2.918	255	255	255	60	156
176	0.915	255	255	255	356	118
177	0.871	255	255	255	336	231
178	0.653	255	255	255	459	250
179	2.744	255	255	255	120	324
180	0.319	255	255	255	453	350
181	0.261	255	255	255	279	381
182	0.290	255	255	255	487	412
183	3.556	255	255	255	16	415
184	2.381	255	255	255	324	417
185	1.248	255	255	255	251	2
186	6.619	255	255	255	385	23
187	0.682	255	255	255	112	214
188	0.247	255	255	255	123	232
189	0.261	255	255	255	27	318
190	1.292	255	255	255	407	336
191	0.334	255	255	255	346	424
192	0.305	255	255	255	375	435
193	0.247	255	255	255	392	440
194	4.514	255	255	255	160	6
195	0.726	255	255	255	446	176
196	0.334	255	255	255	26	219
197	1.234	255	255	255	401	221
198	1.147	255	255	255	202	431
199	0.319	255	255	255	290	60
200	0.653	255	255	255	319	143
201	0.842	255	255	255	429	147
202	1.423	255	255	255	243	205
203	2.613	255	255	255	414	231
204	1.002	255	255	255	160	232
205	2.221	255	255	255	249	28
206	0.769	255	255	255	164	49
207	4.660	255	255	255	148	98
208	2.264	255	255	255	377	187
209	2.308	255	255	255	278	319
210	2.468	255	255	255	196	329
211	2.831	255	255	255	180	423
212	2.323	255	255	255	135	1
213	1.524	255	255	255	37	8
214	1.481	255	255	255	381	11
215	0.929	255	255	255	285	21
216	1.379	255	255	255	428	66
217	0.827	255	255	255	405	136
218	1.553	255	255	255	376	140
219	1.408	255	255	255	279	244
220	12.527	255	255	255	331	288
221	1.118	255	255	255	271	338
222	0.305	255	255	255	225	437
223	1.539	255	255	255	290	56
224	0.987	255	255	255	302	145
