 	Area	Mean	Min	Max	XStart	YStart
1	1.103	255	255	255	389	58
2	1.234	255	255	255	197	85
3	1.379	255	255	255	76	95
4	1.016	255	255	255	384	117
5	0.363	255	255	255	360	127
6	0.900	255	255	255	366	276
7	1.219	255	255	255	395	18
8	0.290	255	255	255	378	104
9	1.582	255	255	255	344	163
10	1.089	255	255	255	347	245
11	1.118	255	255	255	335	3
12	0.929	255	255	255	154	90
13	3.368	255	255	255	238	112
14	1.002	255	255	255	297	3
15	2.656	255	255	255	135	14
16	3.019	255	255	255	357	31
17	2.366	255	255	255	328	32
18	1.553	255	255	255	340	56
19	2.555	255	255	255	295	114
20	0.740	255	255	255	231	219
21	1.902	255	255	255	76	226
22	0.682	255	255	255	315	55
23	0.334	255	255	255	349	85
24	1.292	255	255	255	323	91
25	1.161	255	255	255	262	231
26	2.656	255	255	255	453	348
27	2.729	255	255	255	442	22
28	1.582	255	255	255	478	22
29	0.290	255	255	255	242	32
30	0.871	255	255	255	257	4
31	1.989	255	255	255	348	144
32	1.277	255	255	255	438	182
33	0.624	255	255	255	171	243
34	0.232	255	255	255	420	64
35	0.624	255	255	255	279	113
36	1.640	255	255	255	285	128
37	1.684	255	255	255	417	160
38	1.945	255	255	255	488	184
39	0.406	255	255	255	218	62
40	0.784	255	255	255	240	222
41	1.161	255	255	255	239	279
42	3.905	255	255	255	385	303
43	3.513	255	255	255	220	82
44	1.916	255	255	255	175	195
45	4.703	255	255	255	292	40
46	1.248	255	255	255	256	165
47	0.334	255	255	255	268	180
48	4.311	255	255	255	82	363
49	0.929	255	255	255	390	403
50	2.279	255	255	255	219	7
51	2.294	255	255	255	410	20
52	0.305	255	255	255	204	39
53	1.147	255	255	255	389	134
54	0.232	255	255	255	269	187
55	1.118	255	255	255	166	202
56	1.074	255	255	255	270	84
57	0.305	255	255	255	221	140
58	2.018	255	255	255	422	145
59	2.250	255	255	255	462	408
60	0.392	255	255	255	355	28
61	1.234	255	255	255	284	116
62	0.827	255	255	255	57	198
63	0.305	255	255	255	111	208
64	0.334	255	255	255	161	254
65	0.973	255	255	255	13	257
66	1.103	255	255	255	117	184
67	0.755	255	255	255	422	404
68	1.176	255	255	255	451	25
69	1.306	255	255	255	85	128
70	2.744	255	255	255	359	239
71	0.305	255	255	255	151	13
72	1.626	255	255	255	440	19
73	1.568	255	255	255	245	69
74	3.687	255	255	255	331	245
75	0.348	255	255	255	245	437
76	2.976	255	255	255	483	63
77	1.132	255	255	255	298	120
78	0.348	255	255	255	486	250
79	0.334	255	255	255	135	68
80	0.377	255	255	255	425	142
81	0.653	255	255	255	225	151
