 	Area	Mean	Min	Max	XStart	YStart
1	0.261	255	255	255	451	256
2	0.363	255	255	255	412	146
3	0.552	255	255	255	351	251
4	0.261	255	255	255	464	463
5	0.639	255	255	255	251	466
6	1.074	255	255	255	399	125
7	0.261	255	255	255	217	268
8	0.261	255	255	255	306	357
9	0.668	255	255	255	289	426
10	0.305	255	255	255	112	245
11	0.392	255	255	255	430	396
12	0.334	255	255	255	494	258
13	0.261	255	255	255	101	320
14	0.290	255	255	255	358	368
15	0.334	255	255	255	481	396
16	0.334	255	255	255	169	400
17	0.232	255	255	255	351	243
18	0.334	255	255	255	482	397
19	1.103	255	255	255	438	432
20	0.537	255	255	255	351	105
21	0.334	255	255	255	157	164
22	0.334	255	255	255	464	81
23	0.769	255	255	255	492	125
24	0.740	255	255	255	168	271
25	0.842	255	255	255	474	290
26	0.261	255	255	255	101	405
27	0.508	255	255	255	75	471
28	0.363	255	255	255	114	168
29	0.261	255	255	255	439	225
30	0.247	255	255	255	421	435
31	0.435	255	255	255	31	440
32	1.074	255	255	255	25	2
33	0.261	255	255	255	140	9
34	0.784	255	255	255	35	24
35	0.334	255	255	255	112	221
36	0.305	255	255	255	391	262
37	0.435	255	255	255	202	271
38	0.668	255	255	255	115	284
39	0.334	255	255	255	78	300
40	0.377	255	255	255	265	303
41	0.319	255	255	255	496	362
42	0.305	255	255	255	264	364
43	0.276	255	255	255	256	437
44	2.061	255	255	255	302	207
45	0.305	255	255	255	286	216
46	0.508	255	255	255	156	317
47	0.813	255	255	255	27	338
48	0.232	255	255	255	289	429
49	0.435	255	255	255	240	22
50	0.305	255	255	255	440	74
51	0.334	255	255	255	190	243
52	0.319	255	255	255	313	339
53	1.248	255	255	255	227	363
54	0.334	255	255	255	460	416
55	1.306	255	255	255	217	434
56	0.319	255	255	255	74	435
57	0.348	255	255	255	236	438
58	0.305	255	255	255	436	24
59	0.653	255	255	255	375	63
60	0.334	255	255	255	158	163
61	0.319	255	255	255	174	195
62	0.406	255	255	255	76	212
63	0.377	255	255	255	352	400
64	0.261	255	255	255	267	441
65	0.435	255	255	255	117	378
66	0.334	255	255	255	88	427
67	0.334	255	255	255	218	434
68	0.290	255	255	255	366	452
69	0.392	255	255	255	59	6
70	0.348	255	255	255	90	292
71	1.394	255	255	255	400	35
72	0.392	255	255	255	452	355
73	0.305	255	255	255	306	423
74	0.813	255	255	255	127	27
75	0.232	255	255	255	351	161
76	0.290	255	255	255	351	193
77	2.221	255	255	255	135	214
78	0.334	255	255	255	217	4
79	1.350	255	255	255	361	107
80	0.261	255	255	255	157	165
81	0.261	255	255	255	177	270
82	0.261	255	255	255	452	357
83	1.176	255	255	255	327	443
84	2.076	255	255	255	157	83
85	0.334	255	255	255	387	146
86	1.031	255	255	255	345	203
87	0.435	255	255	255	452	355
88	0.232	255	255	255	263	201
89	0.305	255	255	255	240	336
90	0.305	255	255	255	351	348
91	0.232	255	255	255	452	357
92	0.276	255	255	255	147	359
93	0.334	255	255	255	438	55
94	0.348	255	255	255	439	23
95	0.610	255	255	255	125	193
96	0.232	255	255	255	211	229
97	0.421	255	255	255	276	307
98	0.639	255	255	255	167	400
99	0.639	255	255	255	46	415
100	0.334	255	255	255	137	450
101	0.261	255	255	255	216	472
102	0.232	255	255	255	273	138
103	0.842	255	255	255	85	68
104	0.261	255	255	255	63	400
105	1.190	255	255	255	439	463
106	0.348	255	255	255	446	469
107	1.147	255	255	255	421	208
108	0.261	255	255	255	393	243
109	0.392	255	255	255	265	252
110	0.276	255	255	255	290	285
111	0.348	255	255	255	351	347
112	0.392	255	255	255	452	355
113	0.392	255	255	255	138	397
114	0.334	255	255	255	470	444
115	0.479	255	255	255	26	339
116	1.829	255	255	255	383	370
117	1.423	255	255	255	320	395
118	0.435	255	255	255	60	419
119	0.610	255	255	255	375	97
120	0.247	255	255	255	138	450
121	0.334	255	255	255	176	20
122	0.305	255	255	255	437	396
123	0.276	255	255	255	352	106
124	0.915	255	255	255	351	296
125	0.334	255	255	255	169	400
126	0.319	255	255	255	245	400
127	0.305	255	255	255	453	11
128	0.334	255	255	255	413	175
129	0.232	255	255	255	367	238
130	0.392	255	255	255	353	321
131	0.261	255	255	255	354	398
132	1.205	255	255	255	472	279
133	0.813	255	255	255	244	294
134	0.305	255	255	255	351	347
135	1.510	255	255	255	248	160
136	0.392	255	255	255	420	163
137	0.290	255	255	255	435	226
138	0.334	255	255	255	188	329
139	0.523	255	255	255	87	399
140	0.276	255	255	255	440	63
141	0.334	255	255	255	126	156
142	6.097	255	255	255	130	171
143	0.261	255	255	255	314	339
144	0.232	255	255	255	294	390
145	0.261	255	255	255	331	409
146	4.485	255	255	255	49	440
147	0.929	255	255	255	308	244
148	0.261	255	255	255	351	418
149	0.334	255	255	255	216	425
150	0.276	255	255	255	284	254
151	0.334	255	255	255	326	17
152	0.334	255	255	255	322	184
153	1.350	255	255	255	36	106
154	0.334	255	255	255	62	259
155	0.261	255	255	255	219	268
156	0.261	255	255	255	279	321
