 	Area	Mean	Min	Max	XStart	YStart
1	2.526	255	255	255	368	37
2	9.508	255	255	255	331	56
3	1.364	255	255	255	443	67
4	2.308	255	255	255	234	170
5	4.834	255	255	255	232	195
6	1.190	255	255	255	195	235
7	0.450	255	255	255	243	449
8	0.871	255	255	255	151	10
9	1.118	255	255	255	145	44
10	1.539	255	255	255	495	68
11	0.261	255	255	255	266	112
12	0.406	255	255	255	318	142
13	0.305	255	255	255	175	167
14	1.989	255	255	255	35	178
15	0.842	255	255	255	169	218
16	4.819	255	255	255	424	230
17	2.134	255	255	255	161	321
18	1.205	255	255	255	378	448
19	19.379	255	255	255	389	32
20	7.113	255	255	255	457	33
21	1.814	255	255	255	43	66
22	4.848	255	255	255	450	80
23	2.047	255	255	255	377	94
24	2.192	255	255	255	27	217
25	4.558	255	255	255	64	82
26	6.648	255	255	255	286	197
27	4.950	255	255	255	198	235
28	13.863	255	255	255	454	3
29	1.118	255	255	255	248	71
30	2.206	255	255	255	388	132
31	1.016	255	255	255	247	146
32	1.118	255	255	255	177	206
33	1.292	255	255	255	298	231
34	0.319	255	255	255	152	447
35	0.276	255	255	255	329	23
36	0.334	255	255	255	172	41
37	0.813	255	255	255	278	63
38	2.613	255	255	255	321	171
39	6.547	255	255	255	407	212
40	2.047	255	255	255	467	221
41	3.179	255	255	255	299	315
42	1.045	255	255	255	281	114
43	2.076	255	255	255	449	201
44	2.279	255	255	255	147	208
45	0.944	255	255	255	296	250
46	0.755	255	255	255	265	326
47	0.842	255	255	255	272	357
48	0.653	255	255	255	32	14
49	0.842	255	255	255	239	27
50	0.842	255	255	255	164	101
51	0.929	255	255	255	232	117
52	0.232	255	255	255	313	339
53	0.290	255	255	255	169	401
54	1.263	255	255	255	373	463
55	2.714	255	255	255	83	43
56	4.210	255	255	255	456	74
57	0.261	255	255	255	412	130
58	1.626	255	255	255	108	133
59	0.247	255	255	255	496	324
60	1.205	255	255	255	133	350
61	0.348	255	255	255	168	33
62	1.945	255	255	255	127	218
63	1.118	255	255	255	209	224
64	0.435	255	255	255	202	244
65	1.364	255	255	255	181	270
66	0.290	255	255	255	305	357
67	1.147	255	255	255	116	459
68	1.118	255	255	255	336	30
69	1.031	255	255	255	97	101
70	2.003	255	255	255	25	115
71	0.261	255	255	255	293	49
72	0.392	255	255	255	87	131
73	1.597	255	255	255	99	193
74	1.045	255	255	255	29	213
75	0.479	255	255	255	111	231
76	0.290	255	255	255	103	232
77	1.771	255	255	255	440	339
78	0.740	255	255	255	185	17
79	1.669	255	255	255	217	53
80	2.119	255	255	255	424	87
81	0.929	255	255	255	376	92
82	0.392	255	255	255	398	118
83	0.871	255	255	255	227	303
84	0.261	255	255	255	281	322
85	0.261	255	255	255	239	400
86	0.348	255	255	255	451	27
87	1.611	255	255	255	385	28
88	6.561	255	255	255	119	233
89	0.944	255	255	255	187	284
90	0.261	255	255	255	279	320
91	0.406	255	255	255	322	365
92	0.305	255	255	255	411	366
93	2.366	255	255	255	447	463
94	3.716	255	255	255	17	6
95	0.232	255	255	255	408	13
96	0.261	255	255	255	352	108
97	1.292	255	255	255	448	110
98	0.377	255	255	255	440	124
99	2.613	255	255	255	289	126
100	0.305	255	255	255	449	136
101	2.540	255	255	255	331	391
102	1.060	255	255	255	276	72
103	2.511	255	255	255	154	197
104	1.640	255	255	255	451	255
105	1.031	255	255	255	488	266
106	0.232	255	255	255	465	309
107	0.305	255	255	255	204	72
108	0.261	255	255	255	265	106
109	0.435	255	255	255	409	212
110	0.508	255	255	255	400	214
111	1.103	255	255	255	330	296
112	0.305	255	255	255	351	348
113	0.305	255	255	255	354	400
114	0.377	255	255	255	176	436
115	0.363	255	255	255	173	41
116	0.668	255	255	255	240	48
117	0.232	255	255	255	391	261
118	0.813	255	255	255	351	296
119	25.533	255	255	255	299	300
120	1.829	255	255	255	209	315
121	0.711	255	255	255	96	352
122	6.793	255	255	255	330	434
123	0.406	255	255	255	266	130
124	0.276	255	255	255	316	213
125	1.060	255	255	255	375	217
126	0.334	255	255	255	387	253
127	0.348	255	255	255	290	400
128	0.290	255	255	255	166	450
129	9.668	255	255	255	353	3
130	1.800	255	255	255	171	6
131	1.335	255	255	255	266	225
132	0.726	255	255	255	368	287
133	1.785	255	255	255	162	330
134	7.664	255	255	255	317	373
135	0.465	255	255	255	284	438
136	3.934	255	255	255	127	128
137	3.019	255	255	255	33	177
138	0.479	255	255	255	350	380
139	0.915	255	255	255	83	438
140	0.334	255	255	255	496	454
141	2.294	255	255	255	162	4
142	0.334	255	255	255	5	126
143	0.406	255	255	255	410	259
144	1.060	255	255	255	389	269
145	1.394	255	255	255	357	340
146	1.887	255	255	255	237	395
147	0.392	255	255	255	62	6
148	0.261	255	255	255	71	26
149	0.377	255	255	255	451	309
150	0.842	255	255	255	316	367
151	0.421	255	255	255	479	27
152	0.261	255	255	255	333	82
153	0.421	255	255	255	438	96
154	0.261	255	255	255	483	96
155	0.232	255	255	255	436	121
156	0.348	255	255	255	11	122
157	2.482	255	255	255	82	149
158	0.247	255	255	255	469	206
159	0.319	255	255	255	256	216
160	0.232	255	255	255	206	309
161	2.569	255	255	255	238	77
162	2.976	255	255	255	120	111
163	1.887	255	255	255	441	169
164	0.813	255	255	255	295	186
165	1.611	255	255	255	114	193
166	2.192	255	255	255	245	256
167	1.219	255	255	255	380	204
168	2.206	255	255	255	56	218
169	0.348	255	255	255	69	271
170	1.684	255	255	255	114	114
171	0.915	255	255	255	322	137
172	0.552	255	255	255	248	185
173	0.305	255	255	255	71	254
174	0.334	255	255	255	245	287
175	0.508	255	255	255	257	435
176	0.494	255	255	255	220	35
177	0.348	255	255	255	191	86
178	0.261	255	255	255	124	104
179	2.714	255	255	255	382	231
180	0.334	255	255	255	87	380
181	1.655	255	255	255	375	453
182	2.163	255	255	255	180	50
183	0.406	255	255	255	410	62
184	0.668	255	255	255	438	98
185	0.261	255	255	255	203	182
186	0.377	255	255	255	437	294
187	1.161	255	255	255	369	22
188	1.190	255	255	255	244	23
189	0.305	255	255	255	496	59
190	0.450	255	255	255	219	204
191	0.348	255	255	255	458	242
192	0.334	255	255	255	228	371
193	0.958	255	255	255	418	379
194	0.377	255	255	255	69	19
195	2.744	255	255	255	203	21
196	6.140	255	255	255	71	120
197	4.645	255	255	255	105	152
198	1.045	255	255	255	327	171
199	0.348	255	255	255	216	180
200	3.629	255	255	255	88	205
201	0.421	255	255	255	228	432
202	0.871	255	255	255	198	43
203	0.305	255	255	255	239	113
204	0.856	255	255	255	225	153
205	1.466	255	255	255	176	184
206	0.319	255	255	255	125	377
207	0.813	255	255	255	353	204
208	2.018	255	255	255	60	309
209	4.485	255	255	255	176	9
210	2.235	255	255	255	19	20
211	1.684	255	255	255	280	74
212	1.727	255	255	255	279	100
213	1.263	255	255	255	66	105
214	0.261	255	255	255	139	126
215	0.348	255	255	255	120	127
216	1.452	255	255	255	217	132
217	0.348	255	255	255	280	146
218	0.261	255	255	255	330	338
219	0.232	255	255	255	376	94
220	0.958	255	255	255	242	191
221	3.556	255	255	255	119	306
222	0.944	255	255	255	21	414
223	3.760	255	255	255	342	24
224	0.450	255	255	255	187	60
225	1.045	255	255	255	219	157
226	0.377	255	255	255	206	161
227	3.252	255	255	255	228	166
228	2.773	255	255	255	379	349
229	1.466	255	255	255	479	365
230	0.261	255	255	255	432	417
231	2.032	255	255	255	456	45
232	5.313	255	255	255	363	156
233	2.598	255	255	255	36	256
234	2.206	255	255	255	413	378
235	1.960	255	255	255	379	57
236	0.377	255	255	255	464	119
237	2.061	255	255	255	455	146
238	2.758	255	255	255	134	168
239	0.987	255	255	255	467	270
240	2.874	255	255	255	272	27
241	0.232	255	255	255	452	60
242	0.247	255	255	255	193	186
243	5.574	255	255	255	93	242
244	1.277	255	255	255	445	274
245	0.479	255	255	255	163	313
246	0.334	255	255	255	200	377
247	2.497	255	255	255	221	33
248	0.973	255	255	255	393	38
249	0.682	255	255	255	464	58
250	3.179	255	255	255	133	59
251	1.103	255	255	255	294	98
252	0.377	255	255	255	308	130
253	0.276	255	255	255	232	139
254	1.306	255	255	255	228	8
255	0.348	255	255	255	257	14
256	3.135	255	255	255	180	76
257	4.776	255	255	255	261	92
258	2.555	255	255	255	242	101
